#result not equal
#convex result: (22.43897,34.05724) os tool result: None
max 97x + 19y
-76x + 59y <= 1567
-92x + -95y <= 29152
49x + 61y <= 49721
-26x + -48y <= 87616
-74x + -31y <= 56230
77x + 5y <= 31991
83x + -34y <= 28318
53x + -61y <= 17210
66x + 50y <= 58884
85x + 42y <= 91090
-74x + -48y <= 94007
90x + 61y <= 15124
11x + 60y <= 12550
34x + -30y <= 27192
17x + 95y <= 65029
96x + -32y <= 94164
40x + 4y <= 69030
-80x + 57y <= 32593
3x + 41y <= 51932
-18x + 36y <= 24793
-72x + -37y <= 41866
-80x + -13y <= 93045
39x + 68y <= 18364
-84x + 6y <= 93352
89x + -93y <= 73944
42x + 39y <= 45356
-85x + 58y <= 60042
35x + 41y <= 43237
-12x + -89y <= 52848
-88x + 80y <= 43924
-64x + 98y <= 97703
-3x + 74y <= 43121
41x + -82y <= 26648
50x + 75y <= 21068
-2x + -55y <= 93276
-26x + 91y <= 95432
70x + -42y <= 98014
-1x + -29y <= 99518
76x + 20y <= 27980
-26x + -45y <= 85752
-85x + -16y <= 9875
60x + -38y <= 52114
91x + -3y <= 2204
-36x + -67y <= 93981
-69x + 11y <= 7593
-68x + -61y <= 26860
-48x + -93y <= 7512
20x + -77y <= 59951
-62x + -48y <= 96675
-16x + -36y <= 20693
76x + 90y <= 37997
71x + 51y <= 52636
36x + 63y <= 62836
-94x + -17y <= 63239
-61x + 13y <= 19638
5x + 89y <= 65904
71x + 7y <= 63629
56x + 14y <= 71841
-52x + 89y <= 94102
41x + -6y <= 19973
-91x + -70y <= 96255
74x + 6y <= 79876
53x + -77y <= 9637
-91x + 73y <= 89523
-9x + 83y <= 8043
-98x + 93y <= 54453
10x + -99y <= 52373
-31x + -87y <= 8770
-100x + 12y <= 69862
74x + -4y <= 51692
-51x + 98y <= 25792
80x + 13y <= 50353
34x + 1y <= 20661
64x + 96y <= 41178
-95x + -35y <= 49421
62x + -12y <= 23480
-60x + -47y <= 70676
30x + 73y <= 93756
-78x + 91y <= 85535
-35x + -43y <= 66406
-31x + -56y <= 58438
23x + -100y <= 13319
76x + -74y <= 80303
7x + 36y <= 83405
34x + -67y <= 19042
36x + -16y <= 94840
-61x + -16y <= 28649
60x + -16y <= 84583
-80x + -96y <= 21308
-8x + -45y <= 31358
-88x + -5y <= 12900
-84x + 4y <= 9521
64x + -18y <= 24919
-100x + -29y <= 40442
64x + 87y <= 53380
-35x + 94y <= 53162
13x + 29y <= 85895
-32x + 72y <= 14199
98x + 94y <= 40205
11x + -2y <= 75405
-29x + -27y <= 31622
-80x + -32y <= 52844
-55x + -100y <= 18533
-17x + 94y <= 71434
-1x + 84y <= 84795
47x + 78y <= 28274
-72x + -58y <= -1641
-98x + -98y <= -5670
54x + 83y <= 73387
-18x + 4y <= 7837
52x + 53y <= 6125
39x + -45y <= 16100
-87x + 39y <= 5498
39x + 47y <= 48087
-76x + -52y <= 42657
75x + 66y <= 56168
-66x + -5y <= 93577
49x + -51y <= 77988
-99x + -78y <= 59478
-38x + 8y <= 21939
25x + -94y <= 38268
58x + 64y <= 67571
60x + 58y <= 98520
5x + 94y <= 66527
30x + 93y <= 41455
4x + -54y <= 17922
-53x + -13y <= 10004
-4x + 85y <= 63991
-20x + -31y <= 92538
40x + 70y <= 22259
54x + 71y <= 89454
93x + -37y <= 84664
40x + -33y <= 83865
23x + -49y <= 70690
3x + 69y <= 13582
-30x + 37y <= 92639
-63x + -44y <= 89605
88x + -38y <= 85059
94x + -86y <= 61856
-91x + 80y <= 82286
-60x + 71y <= 51027
56x + -2y <= 55041
-14x + -67y <= 82302
-22x + -15y <= 17157
-16x + 51y <= 23854
73x + 54y <= 46050
42x + -4y <= 18468
92x + 42y <= 15861
66x + -24y <= 20986
66x + 23y <= 3797
-21x + -84y <= 33598
-21x + -8y <= 90154
-52x + -40y <= 91060
-32x + 36y <= 51126
-6x + 39y <= 5538
-97x + -64y <= 8738
-14x + 47y <= 23318
66x + -2y <= 25045
-14x + -94y <= 10677
-100x + 16y <= 61451
-11x + -58y <= 67050
-11x + 54y <= 11039
-92x + -92y <= 25127
-41x + 14y <= 57292
42x + 45y <= 53867
-68x + 90y <= 91546
94x + -1y <= 89457
36x + -55y <= 50975
-33x + 22y <= 41036
98x + 4y <= 60407
29x + -7y <= 48733
36x + -25y <= 54948
49x + -48y <= 90254
-14x + 50y <= 72629
-88x + -69y <= 15030
96x + -36y <= 12520
-99x + -85y <= -1307
26x + 43y <= 49973
-46x + -85y <= 68440
10x + 19y <= 52374
-100x + -10y <= 87349
66x + 86y <= 80557
59x + 69y <= 81843
68x + -44y <= 57281
81x + 22y <= 75679
21x + -62y <= 59075
-96x + 60y <= 38861
-13x + 65y <= 66165
65x + -22y <= 73808
-2x + 76y <= 91487
16x + -43y <= 71232
51x + -8y <= 99157
23x + -25y <= 66221
-71x + -9y <= 91501
93x + 39y <= 95803
-26x + 9y <= 58131
27x + -55y <= 35376
81x + -78y <= 54899
20x + 49y <= 1530
92x + 39y <= 68789
18x + 90y <= 1682
23x + 77y <= 6339
-60x + -89y <= 24249
-23x + 66y <= 19188
-62x + 41y <= 18120
53x + -57y <= 95296
92x + 36y <= 8229
40x + 77y <= 77629
-64x + -71y <= 33958
34x + -1y <= 55215
68x + 94y <= 33173
-20x + -5y <= 5500
90x + 42y <= 55345
91x + 4y <= 65541
56x + -23y <= 35858
-53x + -64y <= 73598
-70x + -50y <= 88730
-15x + -37y <= 86604
87x + 52y <= 68231
-37x + -15y <= 86673
20x + -81y <= 88121
36x + -50y <= 54707
27x + -7y <= 73282
59x + -94y <= 88064
-84x + -59y <= 61811
32x + 11y <= 49890
-71x + 18y <= 52129
37x + -60y <= 33626
-9x + 98y <= 59343
-77x + -46y <= 34721
86x + -43y <= 60772
33x + 7y <= 84214
64x + 24y <= 33301
4x + -85y <= 9081
-45x + 29y <= 27729
-4x + 58y <= 10357
-87x + -67y <= 52476
-7x + -7y <= 28657
94x + -25y <= 43778
71x + -1y <= 50613
-40x + 13y <= 34143
29x + 73y <= 68664
-2x + -50y <= 17180
45x + -69y <= 17529
-45x + -76y <= 98106
70x + -88y <= 91096
-33x + -70y <= 51023
-41x + 90y <= 61329
19x + -1y <= 99540
54x + -1y <= 6708
-7x + -44y <= 88515
-25x + -5y <= 70097
5x + -11y <= 53289
34x + 63y <= 75531
-20x + -36y <= 96622
-19x + -24y <= 79413
-84x + -75y <= 78946
81x + 5y <= 34749
83x + -80y <= 46789
-91x + -41y <= 21025
31x + -15y <= 5779
42x + 53y <= 45577
4x + 78y <= 66228
7x + -37y <= 37172
76x + -54y <= 88211
60x + 31y <= 99097
-59x + -71y <= 57483
92x + -63y <= 2865
46x + -63y <= 91614
29x + -95y <= 96810
-50x + 35y <= 38596
-94x + 31y <= 18061
77x + -75y <= 37802
50x + -64y <= 76311
-13x + 85y <= 78163
-49x + -45y <= 71701
-7x + 86y <= 71014
93x + 79y <= 66729
60x + -63y <= 91451
30x + -65y <= 24582
81x + -84y <= 32717
-28x + 35y <= 25617
94x + -39y <= 62203
63x + 51y <= 24227
-100x + -80y <= 86549
37x + -7y <= 58271
98x + -100y <= 55619
79x + -80y <= 89445
-48x + -19y <= 20378
-46x + 37y <= 18864
-26x + -28y <= 7369
-79x + 57y <= 21577
-47x + 95y <= 76627
-7x + -4y <= 55127
2x + 87y <= 18962
46x + -88y <= 79288
-78x + 97y <= 79357
5x + -81y <= 17849
-30x + -3y <= 98875
85x + 81y <= 82972
-85x + -88y <= 31118
-92x + 53y <= 68844
-82x + -33y <= 62921
-96x + 100y <= 76439
-10x + -12y <= 75560
-76x + -33y <= 25370
-68x + 63y <= 11954
42x + -14y <= 45809
-85x + 30y <= 88724
-91x + 59y <= 46832
30x + -65y <= 20325
38x + 74y <= 84442
-53x + 50y <= 42532
10x + -9y <= 31219
20x + 47y <= 21930
-89x + 14y <= 80851
-50x + -69y <= 12332
-11x + 28y <= 67971
-96x + 98y <= 4546
1x + 92y <= 28690
-67x + -89y <= 70484
62x + 82y <= 35334
81x + 61y <= 25654
-48x + 81y <= 30704
62x + -61y <= 28840
44x + -71y <= 4784
-94x + 76y <= 10450
96x + -91y <= 11530
-64x + 44y <= 73286
64x + -49y <= 44275
65x + -62y <= 74929
-62x + -14y <= 66377
-97x + -78y <= 78120
-79x + -38y <= 83286
-17x + -6y <= 38305
-77x + -16y <= 8300
35x + 90y <= 83440
79x + 77y <= 28262
-60x + -95y <= 31497
-7x + -23y <= 96035
-4x + 84y <= 87175
-7x + -24y <= 24882
85x + -98y <= 35232
67x + -91y <= 28979
-69x + -54y <= 58637
76x + 67y <= 72487
13x + -2y <= 15554
33x + 60y <= 54525
-11x + 79y <= 58897
3x + 19y <= 12248
50x + -86y <= 56465
-32x + 43y <= 77130
50x + -47y <= 88852
-69x + 67y <= 26215
45x + -12y <= 29280
-84x + 24y <= 44574
83x + -49y <= 95689
-99x + 75y <= 7014
76x + -67y <= 78728
94x + 43y <= 49805
-26x + -69y <= 70419
-63x + -84y <= 70436
13x + 58y <= 12584
-65x + 61y <= 36996
-5x + -96y <= 19863
-72x + -70y <= 5722
-1x + -10y <= 63871
-99x + -14y <= 57916
71x + 95y <= 94720
6x + -56y <= 40203
26x + -85y <= 87918
-88x + -60y <= 20810
21x + -33y <= 98031
83x + -27y <= 42863
-66x + -79y <= 4450
85x + 60y <= 97945
41x + 95y <= 95756
-67x + -44y <= 28763
-80x + 91y <= 71991
60x + -98y <= 78152
-97x + 68y <= 86344
63x + 56y <= 88020
-76x + -99y <= 34763
79x + 26y <= 88238
46x + 88y <= 56587
7x + -6y <= 75364
-72x + 69y <= 15463
-85x + -8y <= 50025
42x + -26y <= 44360
43x + 29y <= 9285
-58x + 3y <= 80993
-53x + 60y <= 55078
-86x + -27y <= 87773
-47x + -55y <= 8238
98x + -97y <= 69615
83x + -50y <= 29593
60x + 56y <= 26851
48x + 80y <= 58892
-83x + 59y <= 35543
-69x + -89y <= 78692
-13x + 60y <= 82742
-71x + -50y <= 95031
17x + -73y <= 15497
91x + -23y <= 10214
85x + 93y <= 12707
96x + 2y <= 36269
-2x + -27y <= 5697
-39x + 87y <= 82915
-8x + 96y <= 32866
37x + 7y <= 83898
51x + 99y <= 77575
-75x + -95y <= 64571
-36x + 28y <= 20135
35x + -51y <= 78799
-94x + -14y <= 69063
22x + -96y <= 49094
-90x + -75y <= 31805
-96x + -80y <= 19352
46x + -69y <= 24418
-93x + 90y <= 46651
-43x + 40y <= 2159
-67x + -32y <= 13456
83x + -97y <= 44307
34x + -81y <= 99848
79x + 97y <= 23045
-22x + 88y <= 90254
54x + 78y <= 46449
-57x + 84y <= 49271
88x + 58y <= 91719
-52x + -40y <= 42131
61x + -59y <= 22065
5x + -5y <= 91146
-27x + 35y <= 91417
-33x + -28y <= 11352
-52x + 97y <= 1895
-70x + 16y <= 73498
-11x + 65y <= 77105
-15x + -99y <= 66643
-67x + 3y <= 57126
-60x + -46y <= 18246
-17x + 10y <= 11502
-32x + -21y <= 86349
23x + 77y <= 74375
-92x + -51y <= 65297
32x + -87y <= 73287
-51x + 56y <= 21051
-49x + 16y <= 53234
83x + -73y <= 2027
22x + 2y <= 2025
-33x + -94y <= 70091
48x + -1y <= 94352
67x + -25y <= 57146
-89x + 89y <= 81568
-24x + 77y <= 15828
-71x + -69y <= 72098
-96x + -51y <= 74583
-69x + 44y <= 32928
-53x + -38y <= 16887
-21x + 87y <= 52341
5x + -30y <= 26163
35x + -22y <= 34129
-26x + 97y <= 36799
36x + 68y <= 51295
-31x + -7y <= 81175
19x + 98y <= 36002
-74x + 33y <= 42130
-84x + -16y <= 25194
62x + -90y <= 87908
30x + 54y <= 52127
100x + 45y <= 25961
-87x + 5y <= 84276
-97x + 39y <= 7437
-31x + 23y <= 17152
58x + 31y <= 11346
62x + -14y <= 84864
-6x + 5y <= 51026
45x + -41y <= 34726
37x + 72y <= 33288
54x + 34y <= 30082
78x + 61y <= 33931
23x + 85y <= 53745
11x + 67y <= 53539
-12x + 52y <= 98481
19x + -86y <= 10449
-11x + -7y <= 95450
-21x + 25y <= 93785
10x + -27y <= 96576
-13x + 23y <= 27386
30x + -95y <= 1586
-87x + -18y <= 32431
-13x + -3y <= 80277
2x + 72y <= 84835
92x + 25y <= 34378
73x + -74y <= 12902
-86x + -59y <= 93928
-98x + -63y <= 27428
-96x + 46y <= 17473
-91x + 100y <= 14955
-18x + 66y <= 65937
87x + 60y <= 13082
-6x + -68y <= 99534
13x + 62y <= 57424
100x + 8y <= 41151
67x + 73y <= 92037
77x + 57y <= 16673
17x + 3y <= 46347
-46x + 45y <= 10645
-19x + -60y <= 49168
20x + 4y <= 9544
-41x + -72y <= 31380
-46x + -38y <= 28025
76x + 60y <= 39885
-82x + -91y <= 81069
-44x + -16y <= 95558
-45x + 77y <= 54691
45x + 61y <= 69172
-35x + -46y <= 61479
32x + 60y <= 89611
49x + 44y <= 27107
-91x + -55y <= 59263
-3x + -76y <= 44741
50x + 48y <= 60550
23x + -72y <= 66829
31x + 86y <= 83116
-72x + -16y <= 45077
-56x + -80y <= 98178
-51x + 93y <= 79632
49x + 57y <= 51416
88x + -45y <= 39170
49x + -89y <= 46174
-93x + -29y <= 38332
-79x + 49y <= 1383
68x + -55y <= 36112
-1x + -89y <= 59659
-95x + 28y <= 52828
-47x + 79y <= 66740
12x + 26y <= 70992
52x + 48y <= 8171
-89x + 23y <= 54411
43x + -65y <= 51666
82x + -20y <= 20220
93x + -33y <= 52367
-13x + 92y <= 40154
-38x + 66y <= 1486
-31x + -67y <= 54274
47x + 65y <= 11595
-71x + -34y <= 47311
65x + 7y <= 7946
58x + 21y <= 93183
3x + -97y <= 64943
19x + -11y <= 85782
97x + -44y <= 80489
72x + -13y <= 33145
-54x + 31y <= 64818
-61x + -64y <= 91226
-9x + -86y <= 16404
32x + -53y <= 10264
-93x + -47y <= 56543
-99x + 8y <= 78710
-75x + 43y <= 63163
43x + 23y <= 81411
-21x + 63y <= 46773
-42x + -1y <= 70063
-99x + -13y <= 21661
71x + -59y <= 18686
-97x + -3y <= 93216
-59x + -92y <= 79677
24x + 95y <= 50307
-43x + 12y <= 91639
29x + -5y <= 59648
65x + -89y <= 59356
24x + 16y <= 20322
-63x + 66y <= 57403
40x + 9y <= 6195
-33x + 71y <= 32060
52x + 20y <= 66733
81x + 32y <= 46655
26x + 3y <= 85482
33x + -51y <= 90297
49x + -68y <= 78674
35x + 88y <= 34769
-69x + -1y <= 6891
-22x + 54y <= 50127
86x + 22y <= 94829
-74x + 26y <= 42515
-94x + -62y <= 18743
-54x + -12y <= 23745
69x + -83y <= 35677
11x + -33y <= 17881
72x + 74y <= 97805
81x + 3y <= 56919
8x + 7y <= 43559
-70x + 92y <= 42709
-10x + 9y <= 20379
41x + 74y <= 97498
80x + 66y <= 53826
-85x + 87y <= 12055
-94x + 33y <= 32485
56x + 15y <= 24037
53x + -26y <= 49706
-19x + -68y <= 58342
-97x + 65y <= 95738
-71x + 7y <= 35823
-99x + -7y <= 30523
7x + -61y <= 99659
-73x + 28y <= 70775
-36x + -6y <= 64742
-74x + 33y <= 56835
28x + -76y <= 8020
71x + 53y <= 8357
45x + -12y <= 39209
70x + -48y <= 71279
30x + 90y <= 93229
24x + 47y <= 32205
94x + 39y <= 93210
-6x + 20y <= 46020
-81x + 40y <= 99943
-17x + 89y <= 95139
-93x + -32y <= 77617
2x + 89y <= 70488
14x + 33y <= 89437
-24x + -38y <= 68492
24x + -52y <= 15318
-27x + 78y <= 33673
-8x + 48y <= 31680
-53x + 77y <= 55251
3x + -22y <= 3359
-65x + 84y <= 89813
-39x + -45y <= 55322
2x + -97y <= 53844
84x + 91y <= 58043
-99x + 62y <= 37453
-2x + 35y <= 43675
-89x + -97y <= 7775
60x + -19y <= 5447
-97x + -55y <= 72298
42x + -77y <= 23288
-72x + 95y <= 12788
-99x + -67y <= 18832
-8x + -17y <= 33574
6x + 76y <= 75711
58x + 75y <= 29196
77x + -88y <= 27534
5x + 74y <= 68949
-75x + 98y <= 75868
61x + 4y <= 4274
-3x + -51y <= 72867
-65x + 12y <= 22269
-62x + 53y <= 33309
8x + 41y <= 22405
18x + -27y <= 39434
80x + -31y <= 21956
-60x + -50y <= 94665
-96x + 16y <= 76035
10x + 20y <= 84062
-86x + -62y <= 60412
57x + 48y <= 28733
-37x + 6y <= 49882
-6x + -100y <= 86340
-10x + 43y <= 64803
14x + -54y <= 68865
13x + -60y <= 3889
96x + -79y <= 5587
71x + 51y <= 92356
-32x + 32y <= 47965
-72x + -100y <= 47403
-74x + 41y <= 60163
-55x + -44y <= 34623
-83x + 35y <= 10923
11x + -84y <= 78300
11x + -20y <= 96016
86x + 6y <= 50867
-89x + 76y <= 27470
85x + 98y <= 84476
26x + -44y <= 85609
-6x + -87y <= 64600
-50x + 89y <= 93607
88x + -71y <= 11838
-56x + 78y <= 11335
10x + -67y <= 47441
50x + 76y <= 20961
88x + 82y <= 78189
67x + -61y <= 37940
-50x + 11y <= 69914
-81x + 68y <= 50287
-26x + -30y <= 11995
40x + -79y <= 73784
11x + -4y <= 15314
78x + 96y <= 32443
71x + -6y <= 56934
-55x + -18y <= 80052
78x + 16y <= 12464
75x + -90y <= 39010
86x + -76y <= 52610
30x + 14y <= 67391
24x + -63y <= 66856
-83x + 100y <= 34416
4x + -15y <= 16329
-55x + 34y <= 60793
64x + 76y <= 19469
-82x + -20y <= -1226
-47x + -75y <= 61007
-82x + -35y <= 20003
79x + 72y <= 65741
3x + 34y <= 56072
79x + -5y <= 29064
-95x + -93y <= 90150
-73x + -80y <= 58509
-95x + -62y <= 99775
-46x + 48y <= 71667
7x + -37y <= 57225
-21x + -97y <= 35556
43x + 9y <= 28746
72x + -33y <= 29376
55x + 11y <= 89843
34x + 78y <= 83857
-5x + 96y <= 17722
-70x + 51y <= 25041
-48x + -3y <= 96926
-23x + 2y <= 42541
-76x + 78y <= 15319
-20x + -1y <= 20077
31x + -20y <= 11031
-26x + -53y <= 56716
-100x + -33y <= 1551
-12x + 2y <= 5213
70x + -46y <= 26606
10x + 5y <= 33671
53x + -70y <= 64038
10x + 89y <= 49681
-50x + 59y <= 99722
38x + 34y <= 45770
-61x + 74y <= 11805
-84x + 75y <= 43389
52x + 15y <= 60719
-26x + -86y <= 74811
86x + 62y <= 97612
-72x + 42y <= 68810
-11x + -47y <= 36962
34x + -87y <= 48601
15x + 31y <= 43426
64x + -92y <= 28706
88x + 62y <= 62956
-26x + -6y <= 96463
24x + 57y <= 3683
-1x + 52y <= 63334
13x + -51y <= 89430
80x + 20y <= 6731
-80x + 50y <= 59873
-52x + 14y <= 35308
-8x + -46y <= 68386
14x + -57y <= 53671
-53x + -18y <= 51855
14x + 77y <= 11347
-6x + 6y <= 96052
-32x + 80y <= 21925
-11x + -26y <= 58815
-65x + -69y <= 78489
95x + -21y <= 27535
4x + 33y <= 88446
96x + 11y <= 7970
-5x + -64y <= 76543
20x + 80y <= 48120
40x + 5y <= 87771
-51x + 31y <= 82342
88x + -96y <= 17040
-63x + 82y <= 20171
-77x + 48y <= 35873
14x + 87y <= 26235
34x + -50y <= 75324
27x + 52y <= 91754
14x + 52y <= 4843
-54x + -88y <= 46072
18x + -27y <= 31451
-24x + -27y <= 81675
-5x + -30y <= 20452
-50x + 80y <= 29524
62x + 68y <= 66828
-65x + -85y <= 32439
-31x + 61y <= 31329
-43x + 75y <= 10578
13x + 45y <= 79160
56x + -52y <= 70008
66x + 44y <= 49613
-47x + -63y <= 40949
-84x + 73y <= 61479
-58x + -54y <= 30765
-54x + 71y <= 47784
-90x + -66y <= 44496
-68x + 100y <= 25187
-22x + -10y <= 59018
43x + 48y <= 76971
50x + -4y <= 30164
36x + -90y <= 94751
-84x + -13y <= 30826
9x + -44y <= 7455
53x + 1y <= 11679
-73x + -37y <= 72446
80x + 89y <= 33262
2x + -74y <= 2635
-43x + 91y <= 9442
-77x + 16y <= 5328
12x + -94y <= 79433
-51x + 53y <= 5936
-53x + -80y <= 40939
-21x + -97y <= 21894
-21x + 53y <= 89194
-21x + 30y <= 46884
4x + -31y <= 7049
-45x + -82y <= 35179
73x + -29y <= 73785
-14x + -6y <= 16156
-37x + 64y <= 68956
-69x + -12y <= 3746
87x + 43y <= 44784
-79x + -98y <= 60846
82x + -75y <= 8403
-14x + -46y <= 26407
-71x + -69y <= 57898
-69x + -98y <= 47480
38x + -57y <= 14134
-51x + -46y <= 63187
-30x + 24y <= 9537
48x + -4y <= 55887
-87x + -3y <= 29760
61x + -81y <= 83684
3x + -3y <= 86124
45x + 28y <= 73452
32x + 88y <= 94627
78x + 98y <= 65799
-17x + 83y <= 91251
34x + -9y <= 84762
-63x + 74y <= 79773
33x + -15y <= 84815
-99x + -31y <= 34557
-42x + -27y <= 30399
2x + -60y <= 52360
-92x + 99y <= 93232
14x + -73y <= 50885
26x + 68y <= 48662
13x + -10y <= 89326
4x + -69y <= 41953
100x + -46y <= 83469
59x + -56y <= 49966
-52x + 69y <= 79756
-16x + -95y <= 15943
-49x + -82y <= 41121
34x + -37y <= 24572
-65x + 8y <= 4297
30x + 92y <= 53813
-54x + 75y <= 95390
6x + 29y <= 65131
-32x + 51y <= 57728
-15x + -24y <= 56867
19x + 4y <= 69837
80x + 71y <= 54576
78x + -84y <= 3248
-18x + 14y <= 23490
98x + -35y <= 94004
