max 3.08x + 8.51y + -8.4z
1.66x + 8.32y + -5.7z <= 337.69
3.93x + 4.29y + 7.26z <= 638.54
2.5x + -4.44y + -3.81z <= 588.7
-2.34x + -1.32y + 8.26z <= 909.23
5.74x + 5.44y + -7.95z <= 375.02
-2.5x + 8.09y + -7.39z <= 395.61
-6.08x + 2.11y + -8.91z <= 586.95
8.25x + -3.71y + -7.63z <= 415.83
-2.22x + -8.11y + 4.53z <= 391.67
-3.94x + 5.13y + -9.97z <= 458.93
-7.31x + 4.29y + 9.44z <= 652.74
4.92x + -8.86y + -6.7z <= 528.26
-3.1x + -1.27y + 6.8z <= 668.59
7.32x + -1.62y + 4.93z <= 821.41
-4.51x + 3.67y + -7.5z <= 933.46
8.65x + -8.5y + -7.25z <= 505.09
1.81x + 2.65y + -3.67z <= 732.4
6.52x + -7.19y + -5.57z <= 678.16
-6.66x + 9.55y + -0.24z <= 116.85
6.27x + 5.8y + 6.02z <= 993.04
6.23x + 8.93y + 5.06z <= 403.18
0.03x + 4.8y + -8.54z <= 751.3
-4.65x + 5.8y + -4.72z <= 858.59
-5.69x + -1.71y + 4.13z <= 840.85
4.15x + 7.76y + -1.03z <= 615.07
-9.06x + 7.31y + -7.31z <= 139.36
6.88x + 5.91y + -2.95z <= 671.28
-0.19x + -5.21y + -2.69z <= 584.79
0.94x + 1.42y + -3.4z <= 138.7
6.65x + 3.84y + 0.45z <= 371.69
0.09x + -5.6y + -3.44z <= 521.06
-5.32x + 2.84y + 5.7z <= 218.16
-0.16x + -5.27y + -4.12z <= 802.04
3.24x + 7.79y + 2.75z <= 636.69
-5.88x + 0.37y + -6.39z <= 554.82
9.13x + 5.37y + -4.01z <= 201.21
-7.16x + -0.09y + 0.85z <= 209.98
6.6x + 0.89y + 3.9z <= 453.65
-3.35x + -0.31y + -4.54z <= 921.97
3.06x + -7.63y + -3.07z <= 691.86
-6.09x + 2.0y + 0.77z <= 930.48
-7.63x + -9.79y + 3.73z <= 525.82
-4.14x + -5.62y + -6.57z <= 464.99
-8.89x + -4.65y + -0.64z <= 331.9
4.99x + -3.64y + 4.58z <= 580.9
0.97x + -0.05y + 9.35z <= 209.34
-7.66x + 5.3y + 4.7z <= 593.84
1.74x + -5.33y + 6.25z <= 407.1
-0.53x + -5.47y + -1.22z <= 271.61
3.67x + -8.57y + -0.19z <= 253.88
7.18x + 7.16y + -9.99z <= 510.19
-7.16x + -3.97y + 5.85z <= 588.67
-3.95x + 8.77y + 9.99z <= 894.72
0.52x + 4.94y + -6.93z <= 351.47
-4.97x + 6.76y + -9.41z <= 204.14
2.01x + -8.58y + -9.56z <= 349.49
-6.9x + 4.22y + -8.7z <= 279.59
2.36x + -1.66y + 3.44z <= 891.4
6.96x + 3.33y + 1.83z <= 964.91
-5.13x + -6.22y + -6.94z <= 769.15
-4.36x + -8.4y + 1.34z <= 408.49
5.95x + 9.9y + 5.5z <= 140.94
6.58x + -6.94y + -2.09z <= 194.53
7.87x + 7.21y + -7.62z <= 206.36
0.49x + 4.62y + 6.09z <= 423.97
-8.24x + 8.71y + -7.22z <= 250.37
-2.4x + -0.17y + 2.69z <= 816.34
5.43x + -3.25y + 8.62z <= 929.24
9.86x + 7.27y + 0.1z <= 113.12
8.18x + 0.49y + 5.59z <= 897.39
3.31x + -6.03y + 7.23z <= 912.34
0.85x + 6.4y + -3.43z <= 200.45
9.48x + 1.34y + 5.83z <= 218.31
1.9x + 0.4y + 8.42z <= 589.49
-9.8x + -2.86y + 1.49z <= 657.78
-5.16x + 3.09y + 6.7z <= 652.75
-4.4x + 4.24y + -1.89z <= 922.47
-7.33x + -1.52y + 9.39z <= 122.27
7.48x + 6.6y + 8.73z <= 188.85
-2.74x + -6.2y + -0.19z <= 812.12
-3.35x + -6.64y + 4.16z <= 549.66
9.96x + -2.91y + -5.56z <= 539.08
-9.22x + 3.05y + -2.1z <= 922.61
