max 7.81x + -1.37y + 3.03z
4.16x + -2.8y + -4.39z <= 217.29
0.01x + -5.26y + 2.12z <= 381.38
-7.2x + 7.43y + 7.6z <= 459.04
-4.53x + 3.22y + 7.94z <= 557.99
-8.84x + 2.81y + 3.23z <= 926.06
-4.16x + 0.6y + -3.29z <= 236.32
-2.41x + -7.37y + -5.61z <= 787.2
-5.94x + 1.8y + 5.99z <= 772.77
-4.72x + -7.45y + 4.68z <= 390.13
-3.11x + 3.72y + 5.09z <= 789.92
3.12x + -3.88y + 6.2z <= 706.47
1.74x + 2.17y + -3.77z <= 591.82
7.46x + -4.63y + -0.66z <= 362.42
-7.24x + -2.85y + 2.07z <= 172.62
-2.08x + 9.23y + -0.23z <= 435.6
9.67x + 6.54y + 5.02z <= 848.48
-8.94x + 2.61y + 1.87z <= 462.17
-8.02x + 1.84y + -7.33z <= 262.36
-1.03x + 3.02y + 9.49z <= 799.25
-5.07x + -2.13y + 6.17z <= 361.08
-5.26x + -5.08y + -0.31z <= 827.06
-5.46x + -5.55y + -0.79z <= 243.22
0.05x + 5.79y + 2.71z <= 526.44
-6.16x + 4.58y + 8.06z <= 848.73
-3.73x + 0.2y + 2.86z <= 669.74
0.49x + -7.08y + -5.11z <= 856.72
6.53x + 2.31y + -9.98z <= 796.7
-8.48x + -1.87y + -4.45z <= 684.49
-2.2x + -2.05y + 0.45z <= 345.11
5.83x + 6.32y + -6.0z <= 987.73
-2.06x + -2.23y + -4.97z <= 752.77
9.93x + 7.47y + 4.48z <= 331.89
7.05x + -5.13y + -8.67z <= 573.45
8.28x + -9.35y + 4.18z <= 819.15
0.35x + 1.33y + 7.17z <= 189.27
-2.83x + -5.84y + 2.76z <= 424.94
8.32x + 9.25y + -3.8z <= 628.35
-3.32x + -1.33y + -6.91z <= 446.9
6.09x + 4.51y + -2.81z <= 460.67
-8.41x + 3.3y + -5.7z <= 292.15
4.15x + -6.4y + 1.24z <= 609.94
2.72x + 5.89y + -9.21z <= 967.12
6.99x + -3.27y + 4.16z <= 764.53
-5.5x + -6.47y + 6.68z <= 190.22
8.79x + 9.8y + -0.64z <= 454.71
-9.28x + -3.16y + -2.38z <= 208.35
6.0x + -6.4y + 6.87z <= 103.64
7.66x + -4.01y + 0.34z <= 330.18
2.35x + 6.04y + -1.54z <= 987.21
-5.08x + -4.47y + -6.39z <= 335.19
9.38x + 3.74y + -3.63z <= 353.71
2.44x + -6.5y + -2.91z <= 865.95
-4.7x + -6.43y + -2.72z <= 906.44
8.4x + 5.1y + -4.42z <= 524.19
1.13x + -4.52y + 5.31z <= 323.09
9.17x + 2.6y + 8.88z <= 589.2
-2.24x + -8.83y + 2.46z <= 443.47
4.7x + 6.77y + 5.82z <= 629.07
7.4x + 6.62y + 3.32z <= 205.55
0.86x + 5.15y + -7.17z <= 712.37
-5.94x + -7.86y + 9.06z <= 332.94
9.11x + -0.93y + -8.86z <= 157.74
-8.69x + 2.84y + 1.55z <= 791.82
0.92x + -5.17y + -6.39z <= 480.39
-5.62x + -9.37y + -1.26z <= 571.27
-4.49x + 1.08y + 0.04z <= 147.63
9.27x + 8.13y + -6.02z <= 477.95
-8.31x + -2.36y + 1.33z <= 608.46
-1.4x + 0.3y + 0.39z <= 522.14
-3.27x + -2.2y + 6.03z <= 532.21
-4.86x + -9.66y + 9.47z <= 865.05
0.14x + 2.48y + 9.68z <= 562.1
1.26x + 6.61y + 1.48z <= 370.04
9.61x + 1.59y + -9.43z <= 619.32
-6.92x + 5.58y + -8.95z <= 615.24
-9.24x + -0.56y + 2.56z <= 480.36
-0.81x + 6.65y + -9.64z <= 676.79
4.93x + 3.28y + -9.0z <= 236.85
7.78x + -7.06y + 8.02z <= 815.18
1.59x + 2.34y + 5.24z <= 823.86
-6.04x + -5.72y + -0.69z <= 271.31
7.66x + 4.17y + -2.69z <= 339.1
-4.37x + -4.52y + 3.64z <= 782.85
1.41x + 3.47y + -5.14z <= 206.17
-7.94x + 1.38y + -7.73z <= 155.15
-6.33x + -7.67y + -9.26z <= 824.77
1.04x + 3.82y + -4.12z <= 555.48
3.2x + -7.39y + -2.78z <= 506.28
-7.26x + -7.03y + 3.9z <= 506.85
-3.27x + -9.54y + 5.5z <= 802.73
6.68x + 4.98y + 9.02z <= 178.58
-2.76x + -7.38y + 0.71z <= 845.25
-3.84x + 5.32y + -9.37z <= 784.16
-8.42x + 6.45y + -2.31z <= 325.82
9.82x + 0.49y + -2.36z <= 599.82
7.95x + 0.31y + 4.94z <= 649.91
5.99x + -2.33y + 3.93z <= 242.41
-5.65x + 1.33y + 4.6z <= 830.61
9.38x + 3.8y + 6.52z <= 216.6
-6.98x + -3.81y + -5.53z <= 277.68
5.55x + -5.95y + -2.82z <= 867.29
7.88x + -2.41y + -0.66z <= 768.11
-9.21x + -7.38y + -9.02z <= 432.28
-5.18x + -8.39y + -7.34z <= 832.68
6.04x + 5.77y + -8.75z <= 620.82
8.05x + 5.13y + 7.05z <= 708.92
1.7x + -7.83y + -7.13z <= 571.67
1.82x + 9.17y + 6.6z <= 885.23
9.97x + 4.33y + -0.12z <= 978.11
3.7x + -8.75y + 7.63z <= 755.29
5.2x + -7.37y + -6.89z <= 478.93
9.76x + 8.32y + -3.32z <= 709.97
9.3x + 9.81y + 5.07z <= 994.16
6.38x + 9.48y + -8.95z <= 881.95
2.37x + 3.21y + -5.05z <= 211.51
-2.56x + 9.51y + -3.71z <= 151.51
-8.55x + 2.68y + -6.29z <= 818.36
-5.04x + 3.82y + 4.48z <= 851.72
7.53x + -4.55y + 3.26z <= 564.24
-1.87x + -4.71y + -0.54z <= 298.04
-4.63x + 4.76y + -6.7z <= 329.22
7.68x + -3.23y + -0.72z <= 708.9
-3.04x + -1.77y + 7.67z <= 784.22
8.48x + 0.2y + 3.43z <= 935.14
5.88x + 3.87y + 0.18z <= 686.93
1.75x + -8.44y + -7.72z <= 159.41
-0.42x + 8.49y + 7.33z <= 546.16
-8.8x + -8.87y + -8.79z <= 550.34
-1.33x + -7.6y + 3.08z <= 806.07
7.69x + 0.32y + 0.81z <= 841.51
-5.85x + 4.97y + -9.14z <= 135.26
-2.47x + 3.28y + 1.33z <= 181.15
-6.93x + -0.34y + 2.95z <= 972.51
0.67x + 9.86y + 7.53z <= 818.65
-3.62x + -7.8y + -5.29z <= 795.01
3.68x + 0.74y + -5.25z <= 652.32
-7.36x + 6.46y + -6.6z <= 699.04
-3.43x + 0.84y + 8.84z <= 350.62
