max -7.21x + 3.78y + -1.01z
9.97x + -6.41y + 6.33z <= 648.38
-2.49x + 0.88y + 8.23z <= 605.72
-4.45x + 3.16y + -8.91z <= 823.39
-4.11x + 4.18y + -1.69z <= 911.28
-5.41x + 8.31y + -3.01z <= 715.52
-6.19x + -3.93y + -0.82z <= 397.45
3.36x + -0.58y + 4.49z <= 628.57
-5.78x + 3.85y + -0.92z <= 916.79
-2.43x + -6.18y + -9.48z <= 282.11
1.4x + -8.46y + 1.08z <= 277.1
3.32x + 6.07y + -0.83z <= 314.41
4.65x + -2.98y + -3.63z <= 768.58
8.84x + 7.54y + -8.94z <= 689.21
8.8x + -6.28y + -6.63z <= 667.56
-5.33x + 1.46y + 7.4z <= 126.42
4.11x + 5.25y + 1.84z <= 233.81
1.31x + 2.86y + 5.3z <= 211.77
0.69x + 9.65y + -6.64z <= 128.11
7.27x + -7.6y + 4.69z <= 888.69
-9.68x + -8.67y + 3.7z <= 216.66
7.04x + -9.8y + -2.42z <= 909.59
-2.21x + 2.45y + 7.81z <= 311.21
3.26x + -1.86y + -8.46z <= 851.52
-7.58x + -1.74y + 2.22z <= 836.81
-6.69x + 6.92y + -6.88z <= 541.17
-1.09x + -3.56y + -8.4z <= 479.97
7.58x + 5.41y + -7.7z <= 766.2
-6.07x + 3.54y + -6.05z <= 866.47
4.89x + 6.53y + -7.14z <= 631.88
-3.33x + 4.25y + 9.21z <= 543.88
-7.16x + -6.32y + -2.41z <= 310.72
0.49x + 7.31y + 3.02z <= 357.93
2.31x + 5.1y + -7.92z <= 168.29
-3.55x + 4.54y + 5.12z <= 343.53
9.36x + -1.07y + -5.62z <= 392.76
-7.84x + -2.5y + -6.7z <= 219.77
0.87x + 8.84y + -8.62z <= 865.11
-3.18x + 6.15y + 9.06z <= 466.03
5.2x + 8.27y + -1.18z <= 730.9
-1.79x + -8.2y + -7.45z <= 873.73
-6.25x + -4.13y + 5.12z <= 773.28
-3.2x + -9.88y + -8.29z <= 215.76
-0.54x + 0.59y + 0.86z <= 238.27
4.39x + 2.1y + -5.54z <= 826.28
-0.56x + 3.83y + 7.22z <= 254.51
2.42x + 9.33y + -4.32z <= 558.17
-9.07x + -9.08y + 2.18z <= 649.16
7.27x + 9.05y + -2.8z <= 314.85
-2.75x + -9.51y + 4.74z <= 929.22
-7.47x + 9.07y + 0.98z <= 655.63
-2.87x + 9.69y + -3.66z <= 796.33
-7.19x + 1.27y + -6.95z <= 237.5
-6.95x + 1.94y + -4.89z <= 842.77
3.52x + 5.09y + 3.5z <= 691.91
3.73x + 4.23y + 6.15z <= 204.39
-8.43x + -4.63y + 3.21z <= 399.75
-0.51x + 3.16y + 6.12z <= 248.09
-4.4x + 4.4y + 4.1z <= 287.91
-4.61x + 2.02y + 4.33z <= 376.26
5.83x + -2.74y + -9.35z <= 438.73
-7.41x + -0.93y + -6.34z <= 382.29
9.82x + -6.06y + -0.97z <= 472.59
7.26x + 6.21y + 2.29z <= 361.08
4.52x + 4.44y + 0.19z <= 133.62
8.94x + -6.48y + -2.57z <= 735.32
1.1x + 0.35y + -7.54z <= 845.43
7.67x + -6.22y + -0.38z <= 149.44
-1.87x + 6.66y + -5.11z <= 817.24
-5.58x + 8.57y + -3.29z <= 636.91
-8.47x + 0.04y + 6.14z <= 382.72
-5.71x + 0.16y + 5.64z <= 247.47
-5.07x + -6.12y + 5.8z <= 306.54
4.65x + 8.49y + -7.71z <= 482.99
1.55x + -3.29y + -5.49z <= 606.87
-4.27x + 2.94y + -7.8z <= 394.6
-8.59x + 9.51y + 4.02z <= 769.13
-3.83x + -4.04y + 2.08z <= 659.5
3.7x + -7.91y + -0.58z <= 739.26
-5.11x + 8.82y + 3.54z <= 823.67
4.92x + -4.48y + 2.0z <= 578.89
5.56x + -6.71y + -9.07z <= 281.09
9.41x + 0.11y + -8.31z <= 663.2
2.06x + -6.72y + 3.69z <= 149.32
-2.73x + 8.86y + -2.08z <= 104.32
-4.29x + 5.35y + 8.4z <= 110.29
4.74x + 8.5y + 0.06z <= 943.54
4.36x + -6.05y + -3.81z <= 349.0
-2.99x + -5.66y + 6.25z <= 302.28
8.7x + -2.23y + 7.45z <= 930.81
2.67x + 8.24y + -5.83z <= 754.3
2.29x + -7.01y + -3.77z <= 574.35
7.34x + -6.14y + 5.03z <= 562.99
3.02x + -3.89y + 4.83z <= 279.97
-0.77x + 0.31y + -6.32z <= 760.37
7.99x + 5.72y + -8.45z <= 578.52
-0.46x + 4.18y + 8.53z <= 769.34
7.16x + 1.52y + 4.93z <= 823.05
-10.0x + 3.09y + 3.11z <= 709.93
-9.22x + -9.64y + 2.62z <= 863.24
-3.86x + -5.84y + -5.4z <= 104.3
-7.06x + 6.27y + -6.43z <= 518.65
-5.66x + -1.24y + 9.88z <= 644.77
3.46x + 0.37y + 3.44z <= 808.44
4.77x + -1.27y + 7.3z <= 826.6
9.67x + -1.8y + -4.28z <= 373.61
-1.22x + -3.53y + 9.52z <= 962.2
-2.1x + -6.63y + -9.48z <= 523.83
-0.71x + -9.83y + 6.63z <= 584.28
-6.22x + -2.69y + 9.87z <= 395.63
-9.6x + -0.62y + 8.89z <= 203.05
-0.51x + 0.83y + 4.89z <= 847.16
-0.54x + 3.86y + -0.9z <= 773.08
6.86x + 8.08y + 2.48z <= 330.27
8.56x + 8.71y + 2.69z <= 139.73
6.7x + -0.27y + -5.74z <= 966.66
-0.31x + 4.07y + 2.77z <= 513.95
-6.52x + -9.44y + 0.65z <= 306.42
6.25x + 3.34y + -4.49z <= 492.49
3.63x + -1.83y + 9.99z <= 222.09
8.99x + 7.49y + -1.41z <= 757.83
-4.09x + 9.81y + -0.07z <= 312.21
-5.21x + -8.88y + -9.31z <= 195.33
-4.19x + -9.44y + -3.99z <= 681.47
2.94x + 4.56y + -5.43z <= 126.35
-5.93x + 5.6y + 7.19z <= 917.9
-1.4x + 1.25y + 8.37z <= 899.26
2.95x + -2.31y + -5.42z <= 109.77
-2.01x + -4.15y + 9.37z <= 586.57
7.32x + -0.22y + 9.99z <= 446.44
-2.64x + 4.74y + 8.5z <= 463.06
9.95x + 5.42y + -5.35z <= 878.28
2.93x + 4.67y + 8.02z <= 409.1
-9.09x + 0.68y + 7.29z <= 927.16
-5.09x + -7.13y + 4.8z <= 920.74
-8.33x + 7.81y + -2.16z <= 138.92
-0.19x + 8.13y + 1.6z <= 984.62
9.37x + -6.13y + -8.19z <= 784.82
-2.27x + 2.76y + -7.08z <= 527.85
2.24x + 5.18y + -0.6z <= 636.19
6.96x + 4.98y + -5.05z <= 910.22
6.95x + -6.44y + 6.8z <= 906.76
-1.28x + -1.28y + -9.28z <= 387.58
5.44x + 9.0y + -8.16z <= 412.46
-4.39x + -3.58y + 3.0z <= 787.6
-5.11x + -6.68y + -7.33z <= 792.84
7.2x + 0.02y + -2.88z <= 712.63
2.71x + 5.08y + 7.38z <= 718.71
4.06x + -5.15y + 4.79z <= 524.28
