max -7.92x + -0.77y + -8.39z
-6.15x + -7.41y + 3.04z <= 295.54
-3.66x + 7.74y + -6.92z <= 453.15
7.59x + -4.8y + 0.25z <= 600.36
-3.38x + -1.42y + 1.77z <= 784.0
-0.75x + 6.41y + 8.11z <= 580.74
6.34x + 0.57y + 7.0z <= 271.99
4.24x + 3.44y + -4.4z <= 475.85
4.55x + 1.86y + -7.14z <= 431.63
7.37x + 7.9y + -9.67z <= 644.04
-0.31x + 7.38y + -3.1z <= 315.04
7.48x + 7.74y + 8.78z <= 129.56
-4.25x + -6.56y + -4.89z <= 209.55
-4.34x + 1.87y + -3.87z <= 179.26
7.47x + -3.81y + 7.22z <= 435.29
-1.11x + -4.08y + -1.73z <= 311.04
8.54x + -9.17y + -7.35z <= 446.25
6.52x + -7.13y + -6.24z <= 861.51
-5.8x + 1.32y + 7.92z <= 631.76
-5.3x + 0.58y + 9.93z <= 601.92
-8.24x + -0.37y + 6.19z <= 195.4
-9.89x + 8.0y + -2.28z <= 175.62
-7.56x + -5.51y + 7.02z <= 508.92
-8.19x + -7.53y + 0.5z <= 345.18
1.97x + -2.71y + 5.36z <= 560.19
7.27x + -5.29y + 4.84z <= 159.83
1.15x + -5.2y + 0.44z <= 398.12
7.33x + 1.11y + 9.84z <= 567.35
-9.44x + -9.17y + -8.92z <= 727.36
-7.95x + 3.43y + -2.44z <= 921.54
-6.56x + 2.71y + 4.13z <= 900.58
-7.72x + 0.65y + 3.87z <= 834.41
-8.3x + 2.5y + -4.36z <= 239.31
5.52x + 2.33y + 9.56z <= 967.25
1.52x + -8.86y + 2.48z <= 812.35
1.31x + -5.61y + 3.89z <= 718.62
6.31x + -8.01y + 0.46z <= 986.53
0.64x + 3.75y + -9.17z <= 889.96
8.31x + -6.67y + -4.24z <= 180.89
-0.43x + 7.36y + 8.92z <= 350.91
-2.77x + -4.32y + -2.14z <= 898.09
-2.55x + -1.77y + -0.63z <= 288.08
2.81x + 1.65y + 2.32z <= 583.39
-5.03x + -4.32y + -2.24z <= 901.9
5.02x + -5.38y + -7.4z <= 217.3
-3.32x + 2.11y + 6.49z <= 199.9
-2.78x + 8.78y + 8.44z <= 588.77
-6.09x + 6.46y + -8.42z <= 761.0
-4.26x + 3.82y + 7.2z <= 235.63
-3.33x + 9.78y + -1.35z <= 360.3
5.12x + -4.31y + -1.48z <= 373.01
-5.82x + -9.54y + -5.48z <= 475.36
-4.33x + 8.95y + -9.89z <= 293.53
-2.63x + 6.87y + 7.48z <= 287.84
4.53x + 4.71y + 8.45z <= 166.41
3.65x + -9.95y + -3.13z <= 919.87
5.21x + -0.58y + -9.97z <= 279.3
-5.9x + 1.44y + 4.05z <= 152.87
6.42x + 7.28y + -9.56z <= 239.71
4.66x + 7.84y + 0.68z <= 272.34
5.06x + 2.96y + -5.07z <= 917.43
9.58x + 5.75y + -7.29z <= 490.6
9.84x + -5.81y + -1.88z <= 394.56
-0.07x + 4.35y + 7.84z <= 635.66
-9.4x + 2.73y + -2.17z <= 951.23
-7.46x + -5.17y + -6.22z <= 400.73
-9.94x + 2.49y + -9.81z <= 263.9
-0.63x + -7.17y + -9.2z <= 190.52
-5.72x + 5.12y + -7.27z <= 188.36
-0.89x + -4.18y + -2.39z <= 548.53
-3.87x + 0.02y + 3.8z <= 830.96
-9.29x + 8.16y + 2.85z <= 301.14
6.61x + -5.34y + 2.94z <= 345.52
-1.64x + -8.74y + -5.35z <= 344.09
8.28x + -1.78y + -9.0z <= 186.6
7.7x + -0.51y + 1.0z <= 745.33
9.36x + -1.62y + 0.7z <= 573.33
-5.31x + -9.76y + 9.79z <= 783.07
6.35x + -9.88y + -7.98z <= 669.04
4.4x + 4.29y + -3.1z <= 667.1
6.9x + 2.17y + 8.62z <= 191.45
-5.78x + 7.87y + 3.38z <= 371.88
8.19x + -9.91y + 0.47z <= 326.23
-6.8x + 7.27y + 3.2z <= 628.01
3.01x + 4.81y + 7.33z <= 141.49
-2.01x + -0.14y + 7.42z <= 261.48
-0.02x + -0.58y + 4.06z <= 117.62
8.91x + 3.22y + -1.65z <= 911.79
-6.26x + 7.77y + 7.32z <= 264.38
2.96x + 1.57y + 3.04z <= 331.85
3.15x + 1.54y + -1.06z <= 437.8
-3.13x + -3.13y + 3.14z <= 951.66
6.7x + -5.27y + -9.34z <= 339.67
-3.15x + 7.05y + 1.26z <= 595.16
-5.66x + -6.05y + 8.74z <= 353.06
-8.03x + 0.06y + 9.77z <= 230.11
-1.38x + 6.08y + -3.49z <= 411.4
-8.26x + -9.98y + -2.03z <= 818.66
2.08x + -1.48y + 1.0z <= 278.75
2.86x + 4.47y + -3.94z <= 493.57
1.47x + 9.33y + -1.75z <= 628.79
2.46x + 2.13y + 5.75z <= 626.95
9.15x + -7.11y + -2.93z <= 508.2
-3.58x + 1.81y + 2.98z <= 291.68
-5.83x + 4.83y + 2.55z <= 755.37
-1.81x + 2.36y + 1.0z <= 702.48
7.54x + 1.35y + -8.69z <= 681.39
6.48x + -7.33y + 1.83z <= 747.56
-7.77x + 6.77y + 8.95z <= 220.53
0.4x + -9.31y + -3.88z <= 759.32
-8.35x + 3.49y + -7.44z <= 417.28
5.53x + -3.07y + 8.48z <= 845.61
-4.32x + 5.27y + -6.37z <= 755.67
-9.26x + 0.92y + 2.62z <= 872.61
-0.48x + 9.5y + 5.13z <= 167.21
2.25x + 7.82y + 8.64z <= 625.98
-9.58x + -7.3y + 4.19z <= 649.26
-9.56x + 1.1y + -6.98z <= 521.5
8.68x + 0.43y + -1.71z <= 608.89
-4.89x + 3.65y + 4.21z <= 370.43
-8.41x + -5.87y + -8.72z <= 561.7
-5.67x + -2.2y + 5.89z <= 622.26
3.91x + 0.54y + -5.6z <= 137.48
-3.47x + -4.25y + -0.24z <= 301.78
2.02x + 3.61y + 9.41z <= 181.97
-7.63x + 1.2y + 3.43z <= 944.47
5.39x + -8.03y + -5.82z <= 252.09
9.0x + -5.24y + 6.24z <= 470.77
6.78x + -2.99y + 6.17z <= 842.67
-7.63x + 5.45y + 5.29z <= 126.14
-9.94x + -4.59y + 2.04z <= 979.84
6.87x + -0.36y + 4.03z <= 357.12
-6.93x + 5.28y + 0.26z <= 580.29
-1.76x + 5.79y + 7.9z <= 906.87
-3.12x + -3.65y + 5.82z <= 167.58
2.46x + 5.8y + 5.22z <= 561.29
-2.89x + -6.58y + -5.37z <= 494.89
-4.63x + -4.82y + 3.22z <= 819.81
5.26x + 7.44y + 7.97z <= 517.92
-4.55x + -0.69y + 5.61z <= 896.99
9.56x + -3.88y + 4.73z <= 929.97
8.71x + -2.36y + 7.75z <= 450.92
-9.79x + -1.06y + 7.89z <= 927.85
0.32x + -8.88y + -0.93z <= 173.65
-1.43x + 3.08y + -8.36z <= 726.12
-2.71x + -3.19y + -7.23z <= 511.33
4.31x + -2.2y + -9.55z <= 235.05
0.26x + 5.86y + 6.39z <= 465.91
-2.12x + -3.22y + -7.5z <= 404.96
8.18x + -2.05y + 7.49z <= 461.4
-1.97x + -1.19y + -6.18z <= 129.09
8.67x + 6.74y + -2.47z <= 641.11
-2.61x + 3.69y + 2.53z <= 436.32
-8.62x + 4.5y + 1.46z <= 504.18
-9.78x + 6.99y + -7.75z <= 903.15
-7.12x + 3.5y + -8.95z <= 235.32
-5.27x + 7.14y + 4.23z <= 652.61
-1.69x + -6.87y + -4.99z <= 739.22
-4.94x + -9.54y + 6.27z <= 413.07
-8.05x + -0.43y + -2.35z <= 605.18
6.27x + 2.08y + 0.62z <= 964.46
-5.41x + -3.58y + -9.4z <= 704.65
-7.04x + 9.76y + -6.76z <= 766.96
2.69x + -1.49y + -3.38z <= 498.64
-2.06x + 9.95y + -3.38z <= 208.18
-7.03x + 3.37y + -9.42z <= 727.63
0.38x + -1.13y + -0.17z <= 530.48
6.4x + -8.36y + 4.85z <= 794.21
7.57x + -2.49y + 5.17z <= 855.71
-1.84x + -2.57y + 3.91z <= 756.15
9.04x + 6.22y + 8.28z <= 532.09
9.55x + 2.92y + -4.27z <= 164.63
5.82x + -4.08y + 8.79z <= 208.27
-3.34x + 6.58y + -7.16z <= 272.29
-6.62x + 3.16y + -6.78z <= 236.43
3.75x + -8.86y + -9.85z <= 131.47
0.48x + -9.84y + -0.01z <= 805.04
-8.14x + 6.24y + 5.8z <= 511.9
7.02x + -3.43y + 7.6z <= 673.11
-9.35x + -4.92y + -9.37z <= 637.07
-2.79x + 2.15y + -0.82z <= 620.61
3.13x + 4.2y + -0.67z <= 692.48
-5.52x + 6.37y + -9.77z <= 280.41
7.32x + -6.99y + -6.1z <= 121.05
2.71x + -7.27y + 4.64z <= 527.22
5.03x + 0.55y + -2.17z <= 122.5
8.96x + 7.39y + 9.92z <= 897.17
-4.06x + -9.54y + -8.28z <= 456.78
-6.48x + -5.25y + -7.14z <= 326.25
-3.05x + -7.28y + 7.63z <= 487.23
-5.36x + 0.33y + -4.22z <= 659.96
-8.82x + 0.57y + 6.87z <= 853.13
-9.85x + -4.98y + 5.35z <= 909.8
2.59x + 5.47y + -9.05z <= 290.8
5.97x + 2.62y + -4.34z <= 636.38
8.75x + 3.66y + -7.8z <= 654.77
4.31x + 9.79y + -1.89z <= 114.77
-4.91x + -4.35y + -5.31z <= 463.9
9.68x + -4.78y + 7.33z <= 230.66
0.87x + 9.21y + 2.7z <= 723.29
-0.17x + -3.98y + 7.46z <= 959.89
7.82x + -9.62y + -8.74z <= 130.97
-2.55x + -6.72y + -9.18z <= 813.98
-6.17x + -3.66y + 0.27z <= 663.38
-2.65x + 7.06y + -0.83z <= 284.16
9.65x + -9.3y + -6.5z <= 967.73
-2.48x + 5.62y + 4.97z <= 998.47
-9.07x + 1.16y + -0.3z <= 154.85
4.6x + -5.62y + -7.65z <= 948.13
6.88x + -2.34y + -4.07z <= 386.3
5.71x + 2.19y + 8.88z <= 425.94
2.91x + -8.05y + 2.81z <= 848.68
-9.02x + -9.86y + 4.9z <= 976.82
1.95x + 4.47y + -6.92z <= 840.02
1.52x + -7.96y + 0.65z <= 106.53
0.12x + -2.98y + -6.17z <= 591.07
7.03x + -3.67y + 4.35z <= 940.84
-4.65x + -0.78y + 0.79z <= 474.88
-4.21x + -0.39y + 4.03z <= 437.33
6.79x + 4.04y + 3.19z <= 766.06
-9.95x + 9.14y + 6.28z <= 839.47
-8.94x + -5.09y + 8.0z <= 559.44
-6.76x + -7.64y + 0.7z <= 826.38
-1.55x + -8.53y + 8.47z <= 934.64
-0.99x + 4.08y + 9.73z <= 500.65
9.88x + 4.99y + 0.66z <= 884.05
-9.72x + -9.98y + 9.27z <= 182.02
9.81x + -1.42y + 2.66z <= 551.08
-8.9x + -8.75y + -0.68z <= 215.58
1.12x + 3.11y + -9.58z <= 999.42
5.59x + 1.53y + 7.3z <= 563.72
0.83x + -9.17y + -8.74z <= 686.92
-4.39x + 9.45y + 4.74z <= 610.87
-8.9x + -4.48y + -9.0z <= 663.21
2.32x + 4.25y + 4.0z <= 599.01
-8.48x + -5.95y + 2.08z <= 820.48
0.13x + -5.65y + -1.08z <= 309.74
0.86x + -6.26y + 7.69z <= 530.51
8.89x + -1.37y + -2.78z <= 284.35
6.96x + 6.43y + -1.77z <= 335.35
1.45x + 4.82y + 0.41z <= 204.2
9.16x + 9.87y + 2.47z <= 493.32
-4.47x + -3.01y + 0.65z <= 805.25
4.86x + 5.71y + 3.78z <= 817.37
6.91x + -7.86y + 2.47z <= 427.36
-6.83x + -4.29y + -8.19z <= 216.22
0.26x + 0.47y + 3.42z <= 409.19
4.46x + 5.53y + -1.31z <= 279.67
4.26x + -2.02y + -8.23z <= 819.63
4.37x + -9.71y + 3.2z <= 972.13
-6.4x + -2.58y + -9.36z <= 351.27
8.19x + -8.41y + 4.85z <= 722.87
-4.01x + 6.12y + -4.75z <= 567.51
9.56x + 9.4y + 2.53z <= 543.52
-4.28x + 3.52y + -8.36z <= 805.63
-3.2x + 7.68y + -9.19z <= 462.34
3.66x + 6.93y + -4.82z <= 947.54
-5.16x + -4.38y + 6.19z <= 150.78
4.69x + 5.25y + -1.15z <= 165.89
2.74x + 1.18y + 6.95z <= 388.32
-6.12x + 8.04y + -2.18z <= 867.55
9.94x + 6.63y + -9.55z <= 963.05
8.42x + 4.88y + 4.98z <= 881.28
2.98x + 6.87y + 6.25z <= 438.51
9.64x + 7.12y + 1.91z <= 836.61
4.6x + 5.33y + 8.97z <= 457.4
3.44x + -4.5y + 2.34z <= 739.62
3.53x + -2.56y + -3.69z <= 278.9
3.22x + -9.35y + -5.96z <= 495.88
-6.22x + 5.9y + -9.73z <= 842.32
9.79x + 7.61y + 7.79z <= 532.4
7.24x + -9.21y + -3.96z <= 178.51
1.77x + 5.18y + -3.37z <= 560.39
-3.28x + 1.54y + -3.22z <= 755.11
-5.23x + -8.08y + 7.24z <= 442.68
-0.02x + -3.78y + 3.87z <= 115.85
5.73x + 7.42y + -7.43z <= 354.68
-9.63x + -8.15y + -8.18z <= 510.26
6.79x + 1.72y + 2.82z <= 431.34
-7.99x + 8.84y + -4.4z <= 225.63
-5.81x + 0.42y + -9.96z <= 439.97
7.26x + -9.7y + 7.56z <= 439.81
-1.13x + -5.73y + -5.11z <= 936.88
-1.49x + 1.43y + -9.71z <= 965.9
-8.12x + -5.2y + -4.69z <= 288.89
-6.28x + -1.58y + 2.9z <= 504.6
7.17x + -7.27y + -5.85z <= 922.86
5.48x + -8.58y + -6.84z <= 631.88
-8.91x + -8.06y + 7.51z <= 360.55
2.44x + 4.91y + 2.29z <= 269.36
0.51x + -6.58y + -6.0z <= 795.17
3.34x + -4.8y + -8.24z <= 389.35
0.92x + -8.48y + -0.76z <= 313.54
-0.32x + -0.08y + 8.79z <= 386.98
8.49x + 5.53y + -7.2z <= 384.97
4.35x + -3.46y + 5.46z <= 184.6
5.25x + -8.21y + 9.54z <= 817.43
-7.51x + -3.8y + -4.77z <= 756.8
-7.29x + 9.15y + 1.74z <= 957.69
-9.31x + 9.74y + -4.93z <= 563.12
9.44x + -2.75y + 5.79z <= 808.56
-1.56x + 4.6y + -5.27z <= 574.31
0.82x + 0.9y + -4.38z <= 554.96
7.19x + -7.41y + 8.99z <= 401.89
8.67x + -3.56y + -4.05z <= 416.45
0.93x + -7.13y + -2.2z <= 498.37
-1.77x + -0.52y + -0.41z <= 884.96
4.25x + -8.13y + 9.61z <= 882.57
1.65x + 2.05y + 4.66z <= 277.4
-9.77x + 1.72y + 3.24z <= 182.02
-6.11x + 5.05y + -9.96z <= 786.01
9.5x + 3.08y + 2.58z <= 297.47
-6.0x + 1.0y + -2.86z <= 882.78
-7.72x + 3.42y + 8.04z <= 764.72
8.61x + 3.44y + 7.33z <= 207.59
-2.77x + 6.57y + -7.37z <= 709.43
-9.91x + -1.48y + 5.05z <= 198.73
5.78x + 2.49y + 3.15z <= 451.14
-6.75x + 0.29y + 2.62z <= 549.82
7.79x + 6.17y + 0.69z <= 757.18
-7.02x + 0.76y + -0.47z <= 494.24
2.53x + -5.59y + -2.5z <= 465.41
-8.87x + 3.55y + -6.95z <= 806.38
2.1x + 3.89y + 7.28z <= 457.27
-7.96x + -9.5y + -2.84z <= 600.19
-8.47x + 3.13y + -8.73z <= 789.01
3.15x + 9.18y + -6.23z <= 483.96
-7.67x + 4.24y + -7.09z <= 703.15
-7.59x + 0.64y + -5.42z <= 559.1
-9.63x + 2.99y + 8.92z <= 947.49
7.98x + 5.04y + 5.62z <= 626.21
0.93x + 5.87y + 0.69z <= 827.01
-5.38x + 3.64y + 0.45z <= 880.33
1.89x + 6.25y + -6.62z <= 194.69
-4.76x + 9.92y + 4.95z <= 569.06
6.15x + -4.48y + 6.62z <= 285.61
0.93x + 4.72y + -0.14z <= 940.2
-1.85x + 7.9y + 0.96z <= 994.2
-0.56x + -5.64y + 3.05z <= 836.97
-8.45x + 5.71y + -6.66z <= 183.26
-7.72x + 7.08y + -0.49z <= 990.74
-9.34x + -7.15y + 3.85z <= 840.53
1.91x + -6.48y + 9.09z <= 352.62
9.35x + 0.97y + -0.05z <= 975.76
-5.11x + -0.41y + 4.04z <= 284.32
2.49x + -1.93y + 0.5z <= 844.28
-6.69x + -7.88y + -4.25z <= 974.97
7.17x + 6.7y + 1.66z <= 975.98
-5.74x + -5.84y + 2.67z <= 872.6
6.09x + 2.87y + -9.14z <= 237.89
0.8x + 2.81y + -6.94z <= 684.92
0.96x + -4.32y + -3.54z <= 386.55
-2.89x + -5.87y + 9.13z <= 984.07
-5.88x + -0.02y + -9.66z <= 903.93
-3.26x + 8.83y + 5.91z <= 328.05
-9.04x + 9.32y + -2.29z <= 775.72
-5.2x + -2.84y + 3.07z <= 380.26
-3.53x + 6.08y + -2.53z <= 382.39
-8.2x + -0.71y + -2.46z <= 578.81
