max -8.87x + -2.53y + 1.18z
4.95x + -5.42y + -4.16z <= 888.69
-7.53x + 6.21y + 4.71z <= 255.84
-2.32x + 4.44y + 6.97z <= 791.38
5.99x + -0.63y + -6.96z <= 677.95
-2.04x + 4.17y + 2.09z <= 678.06
-1.37x + -2.17y + 1.42z <= 198.02
-6.7x + -4.7y + -5.75z <= 825.51
-3.03x + 0.01y + -0.49z <= 671.86
-3.9x + -1.77y + -5.1z <= 283.29
5.02x + -5.02y + -0.78z <= 905.53
2.18x + 9.81y + 4.06z <= 305.11
9.46x + 1.87y + -4.93z <= 169.35
4.92x + 6.28y + 7.74z <= 594.29
-2.83x + -2.87y + -6.31z <= 291.45
-4.08x + -1.31y + 6.21z <= 908.6
-9.11x + -0.67y + -9.09z <= 526.02
4.91x + 1.56y + 9.56z <= 371.5
6.17x + -9.57y + 4.63z <= 720.25
-8.97x + -6.34y + 6.82z <= 612.8
2.58x + -4.64y + -4.81z <= 509.26
2.61x + 8.58y + -5.24z <= 698.81
8.95x + 5.02y + -9.52z <= 393.99
7.33x + 7.65y + 7.2z <= 191.74
-1.72x + 1.27y + 8.78z <= 926.77
-3.91x + -1.89y + 5.65z <= 298.93
6.04x + -1.74y + 0.36z <= 456.91
-9.34x + 4.73y + -6.31z <= 962.58
1.28x + -2.61y + 4.36z <= 732.16
-6.21x + -5.31y + 6.32z <= 985.31
-8.19x + -5.74y + -0.61z <= 623.43
1.69x + 8.69y + -7.0z <= 735.88
-0.25x + -9.34y + 6.61z <= 374.53
0.79x + -1.15y + 0.3z <= 175.71
3.03x + 8.67y + 2.19z <= 806.15
7.1x + -1.86y + 2.9z <= 880.03
-6.49x + 0.98y + -7.68z <= 894.56
-5.72x + -2.05y + -1.36z <= 654.39
-5.81x + -9.57y + 5.71z <= 932.77
4.14x + -9.8y + -4.09z <= 669.42
6.53x + -5.15y + -9.16z <= 819.89
-6.87x + 3.56y + 7.99z <= 751.33
4.84x + -4.4y + -8.76z <= 465.73
1.12x + 1.47y + -2.84z <= 295.02
-2.17x + -3.19y + -7.74z <= 523.62
-0.2x + -0.53y + 0.44z <= 857.41
6.54x + 2.3y + 6.54z <= 581.49
-6.06x + 4.37y + 4.66z <= 950.81
3.84x + 3.01y + -7.64z <= 344.26
0.42x + -7.48y + 0.54z <= 374.63
-3.74x + -8.67y + -8.62z <= 847.54
-6.76x + -9.61y + -1.28z <= 529.5
-3.5x + 0.73y + 5.95z <= 690.14
1.9x + -1.38y + -7.08z <= 476.93
0.64x + -5.7y + -6.55z <= 577.64
-1.57x + 6.38y + 4.7z <= 679.11
0.12x + -4.94y + 1.55z <= 227.47
-8.76x + -2.15y + -0.2z <= 487.57
-1.51x + -8.59y + -0.1z <= 499.19
4.59x + 3.65y + -0.48z <= 583.96
-3.97x + 6.81y + 4.67z <= 834.1
-9.4x + -4.87y + 6.46z <= 697.72
3.53x + 0.82y + 9.2z <= 802.75
4.43x + 3.14y + -7.66z <= 139.24
-5.87x + 1.42y + -5.13z <= 976.78
-3.3x + 6.1y + -3.85z <= 405.53
4.14x + 7.99y + 4.55z <= 668.86
5.52x + -4.37y + -7.4z <= 356.66
-9.06x + -0.71y + 3.63z <= 460.46
2.32x + 5.43y + 1.92z <= 218.64
8.66x + -9.16y + 0.88z <= 481.19
-0.55x + 9.42y + 6.59z <= 409.84
-7.09x + -6.7y + -6.03z <= 948.32
-8.26x + 8.54y + -8.25z <= 967.72
-9.6x + -7.03y + -9.87z <= 526.89
7.6x + 9.03y + -0.98z <= 856.84
-7.15x + 1.08y + 8.57z <= 625.27
-5.94x + 3.9y + -10.0z <= 323.2
7.27x + -4.56y + -5.99z <= 420.59
-4.52x + -0.06y + 4.0z <= 933.54
-5.4x + -4.63y + 3.67z <= 728.56
2.21x + -5.46y + -8.87z <= 212.41
-2.41x + 2.91y + -9.03z <= 758.5
-1.48x + 0.88y + 6.41z <= 530.53
0.06x + -7.84y + -7.83z <= 953.92
-7.05x + 1.13y + -6.6z <= 602.4
7.63x + -0.2y + 8.81z <= 549.57
5.63x + 0.6y + 5.36z <= 489.87
0.52x + -8.48y + -3.88z <= 307.98
6.49x + -4.13y + -9.0z <= 181.24
-5.75x + -6.01y + 5.52z <= 240.81
6.59x + -6.99y + 3.43z <= 622.64
-5.33x + 4.02y + -0.88z <= 535.27
-8.79x + -8.59y + 1.47z <= 741.51
-1.24x + 7.39y + -7.96z <= 669.66
2.74x + -8.13y + 9.53z <= 931.4
1.54x + 8.49y + 9.36z <= 871.14
5.46x + 8.7y + -0.53z <= 707.37
-2.63x + 6.25y + -8.95z <= 735.19
9.55x + -5.75y + 7.96z <= 277.5
