max 7.17x + -0.93y + -4.52z
5.34x + 9.97y + -8.77z <= 963.73
2.24x + -4.26y + -3.97z <= 831.19
9.3x + -8.18y + 9.2z <= 924.97
0.02x + -3.03y + 4.51z <= 200.18
-5.29x + -0.25y + 0.07z <= 832.47
9.36x + -4.65y + 1.99z <= 711.54
-3.84x + -3.73y + 1.71z <= 618.6
-7.98x + -6.2y + -5.55z <= 697.49
4.37x + 2.65y + 9.28z <= 637.6
-1.2x + 0.51y + -7.8z <= 386.71
-1.56x + 1.6y + 5.09z <= 692.56
-8.14x + 4.92y + 8.03z <= 254.25
-5.06x + 5.67y + 6.29z <= 976.52
1.05x + 0.59y + 0.58z <= 195.93
-3.98x + -9.78y + 9.43z <= 358.35
3.24x + -0.73y + -9.43z <= 743.23
6.03x + -0.28y + 6.77z <= 604.99
-4.04x + 3.6y + 4.79z <= 227.06
2.86x + 7.92y + -9.69z <= 428.31
-3.8x + 9.69y + -7.69z <= 263.14
-3.47x + -4.32y + -9.12z <= 244.76
-6.92x + 1.11y + -3.74z <= 440.01
5.28x + -0.05y + 4.14z <= 289.35
-6.01x + 6.39y + -9.89z <= 747.44
2.17x + 4.66y + 0.48z <= 588.67
2.18x + -6.08y + -5.0z <= 728.58
-7.98x + 7.02y + -5.02z <= 899.01
-3.87x + 2.95y + 6.16z <= 618.27
5.39x + 1.55y + -9.3z <= 958.78
0.19x + -6.39y + 9.16z <= 620.2
-8.58x + 3.21y + -5.54z <= 745.33
5.48x + -0.01y + -9.14z <= 553.32
1.35x + 3.26y + -6.19z <= 396.56
8.86x + -0.51y + 8.55z <= 675.63
-4.35x + -1.34y + 2.56z <= 530.61
1.43x + -0.86y + 6.45z <= 167.57
3.42x + -5.81y + 6.76z <= 951.18
-9.09x + 8.2y + 2.05z <= 774.39
6.38x + 4.04y + -0.48z <= 430.3
5.7x + 4.21y + 0.7z <= 792.67
5.01x + 8.47y + -2.79z <= 565.27
4.32x + 4.4y + 2.38z <= 940.36
8.78x + -2.98y + 6.6z <= 248.54
-9.86x + -2.51y + -1.08z <= 126.87
-3.67x + 2.42y + 8.03z <= 870.41
2.02x + -4.33y + 3.91z <= 215.11
