max -8.18x + 6.72y + 2.9z
2.37x + 0.99y + 8.71z <= 281.16
-9.01x + 9.82y + 1.97z <= 932.84
-0.57x + -9.37y + -5.41z <= 833.64
-5.54x + 5.18y + -5.9z <= 793.92
5.36x + -4.92y + -1.72z <= 157.83
9.02x + -2.55y + -0.32z <= 930.16
9.37x + 5.91y + 5.79z <= 571.76
-2.14x + 9.42y + 2.47z <= 369.72
2.36x + 4.46y + 9.18z <= 425.9
8.06x + 3.82y + 9.21z <= 134.57
2.54x + -3.9y + -7.52z <= 472.76
-6.43x + 0.13y + 8.04z <= 609.16
4.75x + -1.21y + -5.12z <= 277.99
-5.17x + -8.67y + -7.29z <= 855.99
-4.64x + 2.94y + 9.06z <= 979.65
8.37x + 2.75y + -3.81z <= 888.62
-3.37x + 4.61y + -1.83z <= 686.9
7.86x + 2.6y + -1.79z <= 924.5
-0.33x + -3.95y + -9.65z <= 374.11
1.2x + 7.61y + -9.13z <= 586.83
9.7x + 1.78y + 1.89z <= 250.25
-3.84x + -6.26y + 7.21z <= 303.6
2.38x + 7.12y + 0.35z <= 122.79
6.43x + -1.46y + 7.82z <= 646.44
-9.64x + -0.24y + -0.29z <= 580.19
-5.01x + -3.86y + 1.95z <= 647.39
3.62x + 0.34y + -8.02z <= 351.58
-9.86x + 4.38y + -9.08z <= 302.68
9.02x + -4.46y + 8.25z <= 834.44
-0.9x + 6.51y + -6.26z <= 164.91
2.99x + -1.41y + -9.72z <= 850.61
8.58x + -1.7y + -3.96z <= 334.43
6.79x + 7.63y + -3.15z <= 816.4
4.13x + 2.55y + 5.5z <= 170.76
-8.66x + -5.14y + 0.21z <= 691.52
-1.76x + 7.4y + 9.07z <= 561.66
8.05x + 1.73y + -8.27z <= 726.81
-5.82x + 6.48y + -8.87z <= 515.2
-7.4x + 1.96y + -7.08z <= 942.83
-0.94x + 7.87y + 0.47z <= 413.29
-9.96x + 9.14y + 9.47z <= 563.91
8.34x + 5.24y + -6.59z <= 598.97
3.51x + -3.68y + -3.31z <= 879.5
-9.2x + -3.96y + 5.82z <= 213.99
-0.72x + 5.02y + -4.27z <= 768.79
-9.13x + 1.59y + 8.41z <= 531.23
5.19x + -5.77y + 0.01z <= 572.21
8.35x + -1.0y + 8.31z <= 937.15
5.83x + -9.45y + 7.76z <= 999.5
1.33x + -6.1y + 7.44z <= 767.09
8.76x + -7.88y + 1.69z <= 591.74
-7.66x + 4.0y + -2.33z <= 612.84
10.0x + -0.63y + 8.05z <= 299.78
-8.05x + -5.43y + 1.88z <= 608.91
-0.52x + -8.09y + -8.41z <= 699.38
-8.29x + 1.05y + 7.31z <= 383.06
2.51x + -0.97y + -2.79z <= 178.9
-1.58x + 2.57y + -3.11z <= 628.86
-2.98x + 4.0y + -8.54z <= 225.76
-3.56x + -2.02y + -2.61z <= 545.17
9.26x + -1.32y + -4.53z <= 896.33
5.31x + 8.54y + -7.01z <= 679.98
6.7x + 0.92y + -8.8z <= 957.28
-8.96x + 0.06y + -5.66z <= 521.14
-8.4x + -2.7y + -4.85z <= 531.63
-1.12x + -3.44y + 2.24z <= 770.51
-7.11x + 8.88y + -4.18z <= 487.0
-0.68x + -0.54y + -6.6z <= 896.48
-8.25x + 8.0y + 4.77z <= 834.45
-1.01x + -2.09y + 5.32z <= 257.71
6.54x + -3.63y + 7.68z <= 872.08
3.64x + -8.03y + -6.32z <= 993.65
-7.16x + 9.34y + 3.12z <= 294.0
8.15x + 6.58y + 5.18z <= 712.73
4.75x + -2.95y + -3.17z <= 322.74
-1.11x + 6.39y + 1.1z <= 503.7
7.1x + 8.53y + -7.19z <= 203.68
2.6x + -8.49y + 0.25z <= 274.71
5.25x + 3.46y + -3.08z <= 693.9
-7.21x + -9.35y + 5.99z <= 941.36
-0.07x + 7.52y + 7.86z <= 174.28
-4.49x + 8.81y + 3.06z <= 495.2
9.93x + -6.0y + 7.08z <= 879.77
9.56x + -1.55y + 4.27z <= 814.08
-8.57x + 4.91y + 4.44z <= 638.16
-4.69x + 3.83y + 1.88z <= 791.33
7.63x + -0.97y + 0.46z <= 923.64
6.14x + 3.68y + -2.22z <= 528.73
9.74x + 7.03y + -0.32z <= 830.25
-2.51x + -5.65y + 6.1z <= 638.43
-8.67x + 5.44y + 6.1z <= 292.87
-0.65x + 5.95y + 4.68z <= 950.89
7.6x + 7.28y + -0.53z <= 185.68
-6.09x + 9.16y + -9.61z <= 765.64
-1.26x + 2.21y + 8.07z <= 108.42
8.78x + 1.68y + 3.66z <= 150.36
-4.21x + -6.9y + -1.7z <= 277.82
1.9x + -1.79y + -7.83z <= 643.56
-9.4x + -8.9y + 8.1z <= 454.44
-4.97x + -8.63y + -6.46z <= 700.41
3.31x + -3.72y + -8.72z <= 173.64
-2.78x + -7.73y + 8.55z <= 226.7
-8.34x + 3.79y + 3.38z <= 239.33
-2.6x + 5.98y + -6.93z <= 816.29
6.63x + 6.26y + -4.07z <= 719.35
-8.14x + 1.62y + 3.04z <= 483.07
9.84x + -6.97y + 1.96z <= 914.48
-5.11x + 1.47y + 2.22z <= 396.28
-1.31x + 3.23y + 6.22z <= 427.41
9.86x + 0.13y + -7.86z <= 941.16
-9.67x + 8.86y + -1.38z <= 922.69
-1.21x + -1.96y + -4.11z <= 766.22
4.59x + 7.86y + -9.08z <= 563.51
-8.57x + 7.18y + 3.64z <= 244.21
0.45x + 5.22y + 9.81z <= 346.65
3.85x + -2.82y + -7.61z <= 677.91
-7.57x + -4.94y + 6.95z <= 269.93
5.34x + -3.12y + -1.86z <= 822.92
9.3x + -7.48y + 4.37z <= 689.73
3.38x + 1.24y + 4.23z <= 749.09
0.25x + 9.75y + -8.61z <= 501.52
-5.31x + -2.69y + 8.9z <= 784.5
-5.89x + -6.87y + -9.85z <= 631.25
-7.0x + -1.81y + 8.8z <= 993.65
4.06x + -4.33y + -7.6z <= 157.04
7.5x + 3.67y + 1.16z <= 585.63
-8.18x + 7.78y + 8.23z <= 536.16
5.8x + 0.61y + -3.46z <= 582.73
-9.79x + 8.46y + -5.66z <= 954.27
1.16x + 8.78y + -1.75z <= 972.6
-2.98x + 9.85y + -5.37z <= 848.52
0.73x + -1.11y + -9.8z <= 752.03
-4.41x + -9.47y + 5.87z <= 452.69
4.0x + -1.62y + 4.73z <= 933.3
1.99x + -9.09y + 5.93z <= 893.49
-5.0x + 8.9y + -5.82z <= 606.01
-0.25x + -3.32y + -2.44z <= 249.71
-4.76x + -3.32y + 2.32z <= 121.77
9.92x + -7.65y + 0.82z <= 518.49
5.06x + 3.23y + 5.25z <= 631.54
-6.67x + -4.03y + -8.99z <= 640.29
-9.62x + 3.62y + -9.84z <= 272.96
1.04x + -8.72y + -2.09z <= 174.76
9.01x + -4.04y + 0.79z <= 388.94
-7.1x + -3.67y + -9.52z <= 701.21
-5.85x + 6.92y + -6.29z <= 657.79
4.33x + -7.13y + -1.51z <= 688.18
9.39x + -9.38y + -6.25z <= 813.16
4.52x + 0.76y + 1.04z <= 116.87
-1.67x + 6.25y + -9.09z <= 606.12
9.15x + 9.37y + -7.95z <= 387.22
-9.15x + 5.86y + 6.39z <= 192.53
3.59x + -1.06y + 3.75z <= 660.45
1.57x + -8.13y + -4.5z <= 879.83
-8.33x + 4.05y + 2.01z <= 302.72
4.16x + -7.73y + -2.45z <= 512.11
-3.53x + 8.24y + -2.56z <= 373.54
4.02x + 4.82y + 3.75z <= 811.91
-8.04x + 8.03y + 0.83z <= 255.39
-5.37x + 3.37y + -0.49z <= 831.04
2.38x + -7.82y + 6.4z <= 366.05
-1.68x + -2.36y + 5.81z <= 944.04
1.4x + -8.34y + -8.7z <= 256.08
5.53x + 3.28y + -5.63z <= 294.27
3.16x + -7.93y + 7.54z <= 179.94
-4.65x + -0.69y + 5.65z <= 454.76
0.79x + 3.85y + 5.39z <= 486.79
8.98x + -3.9y + 8.08z <= 534.51
-8.68x + 5.57y + 8.62z <= 315.67
-3.03x + -2.29y + 2.51z <= 202.02
-2.09x + 7.45y + 3.47z <= 964.01
6.6x + -4.72y + 2.1z <= 527.72
0.37x + 6.25y + -0.74z <= 509.44
-8.11x + -9.97y + -1.01z <= 230.45
3.85x + 6.59y + 0.78z <= 542.57
6.06x + -9.33y + 3.81z <= 354.78
0.79x + 4.5y + -3.66z <= 103.16
-8.92x + 0.77y + 8.92z <= 880.03
-8.1x + -0.78y + 3.13z <= 703.27
-4.67x + -2.02y + 7.56z <= 381.95
8.5x + 7.21y + -0.71z <= 316.5
3.99x + 5.38y + 4.79z <= 250.68
-1.34x + 0.95y + -9.37z <= 512.25
4.37x + 7.94y + 9.9z <= 786.41
5.18x + -1.92y + 7.91z <= 915.28
9.67x + 7.44y + 2.26z <= 371.91
-0.24x + 4.06y + -1.08z <= 506.38
-8.54x + -5.73y + 6.97z <= 835.06
-3.68x + -5.36y + 0.49z <= 363.23
-2.66x + 2.25y + -5.25z <= 851.04
2.97x + -8.56y + 7.4z <= 729.36
-3.09x + 6.26y + 7.07z <= 575.35
1.02x + 7.82y + -9.2z <= 534.19
-4.05x + 9.02y + -6.68z <= 951.62
-6.95x + -9.04y + 3.8z <= 650.9
-8.14x + 8.74y + -5.59z <= 601.7
2.3x + -1.61y + 3.23z <= 326.3
-0.58x + -8.73y + 7.18z <= 630.01
9.77x + 1.96y + -5.73z <= 712.69
3.27x + 1.7y + 6.69z <= 937.64
4.97x + 5.71y + 5.82z <= 774.48
3.94x + -1.96y + 7.06z <= 771.75
-1.65x + 7.15y + -8.35z <= 116.93
-3.69x + -4.53y + 5.31z <= 495.87
5.19x + 2.45y + -6.93z <= 542.81
-9.15x + -4.58y + -9.85z <= 679.47
-8.04x + -1.86y + -6.5z <= 253.58
-3.49x + -2.28y + -0.15z <= 331.62
3.88x + 7.48y + 4.69z <= 770.24
-3.87x + -1.92y + 2.49z <= 419.02
-2.62x + 6.45y + -0.61z <= 290.89
-10.0x + 9.31y + 6.74z <= 297.95
-2.2x + 0.99y + -3.55z <= 122.64
-7.65x + -3.2y + -7.3z <= 300.5
9.66x + -4.46y + 4.98z <= 181.05
2.45x + -0.55y + 5.35z <= 517.8
-8.73x + -7.87y + -5.21z <= 442.14
-6.18x + 2.39y + -8.73z <= 410.23
-6.29x + -7.94y + 8.92z <= 473.34
-8.2x + -7.6y + 9.75z <= 679.36
8.62x + 7.03y + 3.57z <= 478.83
-7.61x + 0.55y + 1.44z <= 273.33
2.02x + 7.52y + -0.95z <= 470.99
8.18x + -1.39y + -9.99z <= 189.46
5.67x + -7.54y + 2.97z <= 535.83
-1.92x + -2.42y + 1.32z <= 893.48
-6.32x + -9.86y + 7.6z <= 368.25
-6.03x + 2.83y + 1.18z <= 944.25
2.93x + 6.45y + -8.77z <= 681.32
7.05x + -5.24y + 2.35z <= 602.24
-7.62x + 1.33y + -2.63z <= 391.63
8.27x + -3.4y + 2.08z <= 428.75
-0.41x + 5.63y + -6.1z <= 299.71
-5.68x + -5.21y + -4.14z <= 678.75
-1.12x + 4.73y + -7.08z <= 853.34
-9.69x + -8.97y + 5.03z <= 820.69
9.53x + 9.5y + -5.58z <= 313.18
4.32x + 2.99y + -7.28z <= 279.86
-0.04x + 4.65y + -4.93z <= 283.45
-8.61x + 4.99y + 7.2z <= 709.02
-1.93x + -5.21y + 8.87z <= 771.31
1.62x + -2.54y + -1.29z <= 206.03
-3.99x + 4.28y + -4.32z <= 150.98
6.32x + -3.85y + -7.13z <= 728.83
-0.99x + -6.73y + -5.02z <= 329.28
0.98x + 3.0y + -6.67z <= 275.34
-1.07x + 3.64y + -3.69z <= 174.74
0.99x + -9.39y + -0.24z <= 509.59
-5.14x + 6.25y + 9.54z <= 572.66
-4.16x + 1.12y + -8.2z <= 698.28
-2.4x + 2.68y + 4.0z <= 214.07
7.75x + 4.65y + 9.71z <= 270.51
-0.56x + -0.49y + -6.99z <= 319.88
5.9x + -7.19y + -5.62z <= 580.06
9.23x + 9.06y + 8.47z <= 143.8
0.78x + 9.62y + 7.76z <= 481.98
7.58x + -8.31y + -5.49z <= 293.94
4.71x + 4.49y + 2.17z <= 876.3
6.88x + -5.86y + 6.52z <= 907.09
-7.94x + -3.86y + -3.98z <= 155.27
6.95x + 5.32y + 3.05z <= 227.31
5.09x + -5.72y + 1.32z <= 212.42
-9.49x + 8.75y + -5.99z <= 482.61
1.0x + -0.74y + -1.1z <= 168.12
5.51x + 8.93y + -4.22z <= 968.17
-6.87x + -4.5y + 4.58z <= 558.94
-7.45x + 3.37y + 5.07z <= 324.53
-8.95x + -0.41y + -8.88z <= 364.24
-7.11x + -7.7y + -8.04z <= 593.78
-5.64x + -2.2y + -5.51z <= 909.49
3.4x + -5.45y + -9.59z <= 721.11
-1.15x + 9.73y + 1.66z <= 175.17
-0.32x + 8.85y + 8.15z <= 220.17
0.62x + -8.05y + 5.6z <= 202.07
-8.5x + -9.68y + 7.23z <= 522.13
4.04x + -5.26y + 2.92z <= 526.15
-5.96x + -0.41y + -8.39z <= 666.87
6.71x + 0.43y + 1.5z <= 590.35
-2.14x + 6.77y + 2.39z <= 760.39
-8.63x + 0.2y + -5.08z <= 640.86
-7.81x + 0.28y + -7.93z <= 104.51
4.19x + 1.88y + 6.76z <= 452.34
1.89x + -5.54y + -4.6z <= 686.18
2.83x + -1.49y + -9.5z <= 349.13
9.5x + 9.37y + 4.92z <= 415.84
-9.23x + -4.55y + 1.36z <= 746.58
5.93x + -0.13y + 0.7z <= 414.22
-1.33x + -9.06y + -3.97z <= 131.93
1.08x + 6.26y + 2.94z <= 534.43
3.19x + -7.96y + 1.25z <= 372.59
1.86x + 0.66y + 2.13z <= 771.44
-7.93x + 0.88y + -5.29z <= 456.89
3.78x + 0.15y + -9.61z <= 284.21
-0.58x + 8.14y + 3.11z <= 698.45
9.92x + 8.92y + 6.86z <= 562.75
7.14x + 9.2y + -0.6z <= 757.68
-0.27x + -7.77y + 4.62z <= 414.9
0.51x + 6.75y + 1.46z <= 596.4
-8.29x + 5.01y + 4.99z <= 396.41
-4.63x + 5.09y + -7.15z <= 867.08
3.15x + -5.2y + 5.85z <= 658.15
8.24x + 8.73y + -9.65z <= 742.19
6.6x + -6.28y + 7.19z <= 204.3
-4.77x + -7.51y + -9.6z <= 684.02
-8.91x + -6.8y + 2.07z <= 548.9
-1.28x + 9.48y + 0.97z <= 253.76
3.81x + -0.48y + -5.37z <= 690.05
-3.15x + -5.65y + -2.31z <= 314.31
0.77x + 8.87y + -2.24z <= 782.54
1.98x + 3.38y + 7.95z <= 636.06
-6.89x + 8.96y + -1.52z <= 455.39
-7.36x + -2.77y + 5.33z <= 153.19
0.1x + 7.53y + 7.41z <= 877.47
8.86x + 7.79y + -8.03z <= 811.59
