max 1.54x + 1.48y + 4.93z
-7.44x + 6.95y + 8.86z <= 131.7
8.24x + -3.32y + 0.39z <= 487.73
0.19x + 5.5y + -2.97z <= 803.92
-1.28x + -6.05y + -8.08z <= 399.11
-8.38x + -5.92y + 2.12z <= 724.87
-1.54x + -6.43y + 0.3z <= 570.3
6.92x + -4.16y + -1.91z <= 859.29
8.3x + 6.15y + -5.92z <= 352.12
4.97x + -3.06y + -9.11z <= 749.13
-4.99x + 7.16y + 3.69z <= 270.3
-4.17x + 2.52y + 4.88z <= 391.87
6.66x + -2.85y + 3.58z <= 683.65
-2.78x + -3.56y + -6.83z <= 114.46
0.43x + 8.09y + -5.78z <= 605.11
2.83x + 1.78y + 7.19z <= 498.09
-7.03x + -7.89y + 7.5z <= 194.03
-9.25x + 0.59y + -3.56z <= 304.3
8.07x + 0.36y + -7.5z <= 489.16
-0.87x + 6.35y + -5.93z <= 660.22
5.45x + -4.59y + -1.39z <= 664.65
7.9x + -6.64y + 7.45z <= 745.52
-2.61x + -9.41y + 8.2z <= 520.15
-1.97x + -7.96y + 9.4z <= 920.52
2.22x + 4.98y + 7.21z <= 816.88
2.47x + -4.9y + -7.91z <= 455.15
7.08x + 2.03y + -7.27z <= 955.05
-0.33x + -3.18y + 9.49z <= 560.0
-0.94x + -3.04y + 0.13z <= 624.5
-5.78x + 7.83y + -9.48z <= 110.7
3.94x + -5.97y + 3.9z <= 421.41
-2.31x + 9.39y + -5.61z <= 124.19
4.65x + -8.53y + 8.93z <= 215.49
0.7x + 5.67y + 6.9z <= 161.8
6.66x + 8.92y + 9.3z <= 586.95
8.92x + -2.64y + -3.02z <= 591.27
8.25x + 3.8y + -8.31z <= 335.78
-2.1x + 8.87y + 7.76z <= 340.51
-4.79x + 9.5y + 1.66z <= 916.19
9.52x + -2.06y + 4.13z <= 286.11
2.44x + -5.43y + 4.35z <= 714.83
4.36x + 8.61y + -8.71z <= 182.5
-9.51x + -9.75y + -0.09z <= 150.1
9.53x + 6.31y + 6.15z <= 240.64
-0.9x + 8.17y + -7.3z <= 680.66
8.81x + 7.69y + 4.19z <= 389.55
6.84x + 4.57y + 6.1z <= 873.81
5.47x + 0.89y + -0.14z <= 101.66
-1.11x + 3.37y + 7.42z <= 230.71
-5.12x + -1.66y + -1.46z <= 454.09
3.11x + 9.97y + 6.02z <= 901.86
6.72x + -5.91y + 4.17z <= 347.26
9.28x + 5.27y + -9.91z <= 122.55
-3.62x + -4.2y + 6.79z <= 508.23
-4.09x + 3.31y + -7.82z <= 373.1
-0.94x + -0.27y + 8.56z <= 481.04
7.12x + -7.08y + -9.33z <= 745.56
6.8x + -3.87y + 5.04z <= 344.99
-2.48x + 2.92y + 8.38z <= 136.36
7.05x + -2.14y + 5.37z <= 621.74
-6.39x + -4.58y + 9.06z <= 226.89
9.03x + -3.87y + -5.58z <= 970.91
0.26x + 0.58y + 9.12z <= 452.59
-7.18x + 0.62y + 6.6z <= 805.51
-6.52x + -0.66y + 3.29z <= 213.96
1.82x + 6.03y + 4.21z <= 657.8
7.88x + -2.35y + -3.22z <= 254.5
-8.85x + -6.05y + -5.46z <= 316.85
-8.99x + 9.66y + -8.22z <= 487.24
-8.09x + 4.74y + 7.58z <= 759.6
5.66x + -1.14y + -2.95z <= 749.0
-8.72x + -3.12y + 9.31z <= 327.32
-2.37x + 0.41y + -6.54z <= 627.61
9.15x + -2.23y + -2.24z <= 511.16
2.22x + -5.47y + 9.03z <= 202.58
-5.54x + 4.63y + -5.98z <= 554.18
-1.96x + 5.17y + -2.28z <= 392.33
3.78x + 3.33y + -2.62z <= 799.05
-9.71x + 1.71y + -0.91z <= 705.58
1.52x + 8.13y + -0.78z <= 787.38
9.02x + 3.33y + -5.78z <= 297.9
-6.53x + 3.1y + 4.8z <= 222.78
-1.29x + 9.62y + -4.71z <= 140.8
8.36x + 2.29y + 6.48z <= 878.41
-7.23x + 5.1y + 4.56z <= 538.7
3.34x + -6.33y + -7.11z <= 349.96
1.54x + -2.71y + -4.42z <= 660.23
-4.55x + 5.6y + 1.16z <= 751.66
-9.07x + 7.68y + -6.37z <= 121.65
-5.57x + -3.37y + -4.96z <= 661.31
8.57x + 5.32y + 1.06z <= 255.2
5.54x + 4.2y + -1.84z <= 520.38
-1.15x + -8.84y + -7.28z <= 964.66
-7.72x + -1.46y + -6.14z <= 962.46
-2.27x + -6.38y + 2.32z <= 328.75
2.39x + -5.06y + 6.48z <= 691.66
6.98x + 3.45y + -8.0z <= 797.48
-6.66x + -1.97y + 3.97z <= 198.31
-3.8x + 5.82y + -4.8z <= 327.57
3.07x + 3.62y + 9.26z <= 563.72
9.48x + -3.4y + -2.25z <= 294.24
4.85x + 7.86y + -2.08z <= 619.56
-9.49x + -7.73y + -1.0z <= 616.59
0.5x + -3.73y + -7.31z <= 598.74
-4.76x + 0.88y + -6.15z <= 650.15
9.04x + -9.88y + 6.48z <= 275.44
1.44x + 1.96y + -7.16z <= 333.3
4.15x + 5.52y + -5.42z <= 754.7
-1.91x + -6.23y + 7.21z <= 703.8
-7.85x + 1.46y + 6.83z <= 579.82
-4.27x + 7.69y + -9.05z <= 638.8
-2.22x + -7.73y + -2.6z <= 986.9
-6.5x + -7.81y + 5.68z <= 653.96
3.8x + 4.49y + -9.4z <= 138.19
-8.05x + -0.63y + 2.04z <= 345.42
-7.66x + 3.95y + 3.15z <= 887.58
-0.16x + 1.09y + 3.33z <= 800.9
-3.21x + 9.56y + 4.68z <= 325.26
7.49x + -0.64y + 3.5z <= 570.24
-3.49x + -7.71y + 3.98z <= 193.5
-2.43x + 9.56y + -6.83z <= 331.59
-6.78x + -5.39y + 0.8z <= 355.56
2.53x + -7.5y + -0.56z <= 361.14
1.93x + 7.88y + -6.25z <= 130.99
0.1x + 0.01y + -5.52z <= 629.17
-9.47x + 7.2y + 8.76z <= 248.78
5.87x + 2.77y + -7.5z <= 619.24
6.39x + 8.4y + 2.42z <= 230.07
1.65x + 8.45y + -4.39z <= 523.36
-1.18x + -8.25y + -3.16z <= 869.59
7.05x + -8.35y + -5.0z <= 401.74
5.17x + 3.6y + -2.24z <= 164.49
2.67x + 8.8y + -0.34z <= 385.9
9.94x + 5.55y + -2.54z <= 518.9
-2.15x + -7.81y + -9.52z <= 222.35
-6.26x + 8.08y + 7.44z <= 938.61
5.93x + -2.1y + 5.81z <= 880.68
-5.87x + -5.37y + -1.83z <= 382.49
3.61x + 6.19y + 2.83z <= 475.58
-9.75x + 3.55y + 7.86z <= 428.04
5.16x + 3.83y + -0.18z <= 547.78
6.72x + 8.14y + 2.57z <= 524.26
1.16x + -2.24y + -1.21z <= 582.56
8.1x + 1.29y + -6.11z <= 982.9
-9.38x + -3.38y + 7.51z <= 585.11
1.06x + -9.43y + -3.92z <= 800.84
-9.95x + 5.14y + 9.26z <= 812.85
9.65x + 6.55y + 4.73z <= 670.39
-2.87x + -3.88y + -8.25z <= 631.19
0.55x + -1.1y + 3.91z <= 454.36
7.85x + -4.71y + -8.2z <= 487.92
4.89x + 1.15y + 2.0z <= 499.76
9.32x + -6.33y + -4.8z <= 675.69
-6.91x + 2.29y + 0.59z <= 545.36
3.87x + 8.1y + 1.6z <= 392.19
7.46x + 9.97y + -3.16z <= 828.73
8.99x + 2.23y + 0.74z <= 437.56
2.39x + 6.09y + -8.03z <= 362.24
0.25x + 7.43y + -6.24z <= 121.36
3.12x + 7.6y + 0.62z <= 880.44
1.76x + 8.42y + -9.31z <= 249.54
-7.78x + -1.9y + -6.18z <= 158.85
-3.32x + -2.22y + -7.74z <= 972.1
1.39x + 2.56y + 1.45z <= 339.12
8.87x + -5.68y + -0.12z <= 518.95
-9.47x + 8.2y + -4.03z <= 273.97
-3.71x + -8.35y + -9.98z <= 913.88
-6.64x + -2.58y + -5.78z <= 726.34
9.93x + 7.71y + -6.32z <= 754.57
-0.05x + 9.45y + -6.28z <= 338.58
5.38x + -2.85y + -4.99z <= 286.71
9.72x + -7.53y + 4.14z <= 354.91
0.95x + 1.91y + -6.78z <= 471.39
-3.07x + 4.33y + 9.72z <= 662.2
4.88x + 6.98y + -1.63z <= 539.6
6.13x + -8.37y + -3.82z <= 470.37
-6.5x + -6.99y + -8.28z <= 344.12
-5.16x + -8.93y + -1.55z <= 765.83
1.85x + 0.72y + 5.1z <= 439.92
3.1x + 4.31y + -0.45z <= 571.09
-5.43x + -8.53y + -1.59z <= 728.26
-9.44x + -0.66y + -4.62z <= 643.36
-2.51x + -0.51y + -7.7z <= 960.21
3.47x + 5.98y + -1.86z <= 247.14
4.0x + -2.72y + -9.82z <= 438.17
-6.94x + -1.54y + 4.38z <= 480.72
8.54x + -3.59y + 6.23z <= 260.29
-3.8x + 2.18y + 2.13z <= 402.93
8.09x + 2.08y + 7.66z <= 802.04
0.29x + 4.27y + -1.96z <= 228.64
-8.65x + 3.69y + -8.63z <= 641.14
-7.48x + 9.54y + 2.96z <= 430.4
8.81x + -9.19y + -3.02z <= 877.14
3.2x + -4.39y + -5.33z <= 996.26
2.46x + -5.26y + -1.76z <= 804.14
8.83x + -9.66y + 0.41z <= 272.68
5.57x + -7.02y + 0.49z <= 173.36
7.0x + -1.84y + -0.68z <= 727.78
-3.79x + 5.28y + 3.38z <= 619.24
3.36x + 3.93y + 2.29z <= 176.25
8.98x + 5.73y + -3.03z <= 476.92
0.22x + 2.24y + 0.58z <= 408.99
-6.31x + 1.38y + 4.55z <= 431.74
-9.58x + 4.42y + 3.26z <= 370.94
4.89x + -1.51y + -0.42z <= 155.85
7.79x + -3.51y + 7.92z <= 642.1
5.21x + -3.92y + -0.36z <= 550.51
8.67x + 6.54y + 7.69z <= 348.35
0.49x + 7.74y + -8.85z <= 585.44
6.1x + -5.73y + 1.85z <= 440.15
-0.34x + -5.02y + -6.2z <= 712.23
0.95x + 7.86y + 1.23z <= 585.43
-9.02x + 3.52y + -6.51z <= 955.58
-1.46x + 5.36y + -5.32z <= 193.78
-1.68x + 8.84y + 3.35z <= 562.03
-2.88x + 6.99y + -5.02z <= 290.83
6.6x + 9.75y + 0.39z <= 833.0
-1.16x + 6.97y + 7.17z <= 386.96
-3.3x + -3.09y + -6.31z <= 973.47
-3.14x + -2.61y + 2.95z <= 983.93
4.08x + 6.5y + -7.89z <= 632.79
3.54x + 6.3y + 9.79z <= 172.62
-9.75x + -8.3y + -5.51z <= 415.45
-5.8x + 6.91y + 6.21z <= 869.54
-2.99x + -9.17y + 0.79z <= 210.1
7.6x + 4.12y + 6.72z <= 810.93
7.61x + -8.4y + 9.98z <= 258.66
-1.84x + -9.59y + -7.1z <= 733.58
8.41x + -5.64y + -3.96z <= 846.15
-3.28x + 5.77y + -6.38z <= 833.06
1.41x + 5.8y + -6.91z <= 398.59
7.54x + -2.8y + 1.22z <= 781.09
-5.51x + 5.48y + 1.47z <= 307.26
-4.6x + 3.06y + 9.19z <= 122.28
-7.97x + -8.55y + 5.35z <= 640.24
-1.27x + -0.79y + -6.51z <= 105.55
9.21x + -1.73y + 4.86z <= 782.14
7.93x + 9.36y + 8.38z <= 241.72
4.9x + -3.9y + -0.61z <= 185.19
4.81x + -9.83y + 7.08z <= 501.78
9.82x + -7.4y + 5.74z <= 562.78
8.73x + 1.2y + -5.97z <= 969.12
4.2x + -2.07y + 8.64z <= 943.81
3.69x + -4.23y + -0.59z <= 702.38
-1.56x + 2.14y + -6.25z <= 979.27
5.43x + -7.34y + -9.8z <= 396.92
2.57x + 8.39y + -8.46z <= 230.99
0.18x + 3.89y + 1.68z <= 956.77
8.9x + -3.6y + -1.94z <= 984.63
-5.74x + -5.38y + 3.7z <= 748.34
-5.55x + 8.82y + 8.55z <= 408.06
-3.9x + -9.55y + -0.96z <= 975.59
-4.78x + -6.22y + -3.96z <= 344.26
-1.53x + -5.1y + -9.93z <= 374.53
-9.8x + -4.97y + 8.17z <= 622.1
5.75x + 4.95y + 0.97z <= 303.16
7.18x + -2.63y + -3.11z <= 127.84
-0.25x + -4.73y + 5.28z <= 482.23
-0.69x + -7.6y + -1.7z <= 524.83
-8.37x + -1.91y + 2.27z <= 412.81
3.77x + 9.73y + -3.74z <= 652.49
-5.44x + 4.96y + 5.89z <= 157.51
-8.5x + -8.23y + 5.5z <= 378.7
7.72x + -4.61y + -5.24z <= 658.26
-5.29x + 0.3y + 6.11z <= 735.69
9.15x + 1.26y + -3.48z <= 204.34
-9.95x + 1.35y + -1.27z <= 439.28
-2.15x + -7.32y + 9.18z <= 313.76
9.85x + -1.81y + -8.01z <= 673.16
-2.02x + -0.08y + -7.06z <= 447.39
-6.91x + 3.96y + -5.63z <= 505.78
6.5x + -5.39y + 8.69z <= 208.76
-2.24x + -6.74y + 8.79z <= 624.86
-1.4x + -0.06y + 5.24z <= 826.56
-7.92x + -3.62y + -6.69z <= 921.98
-6.61x + -7.99y + 6.58z <= 336.7
9.76x + 6.93y + 6.32z <= 729.49
-9.38x + 5.93y + 7.53z <= 602.56
9.67x + 3.85y + -4.44z <= 544.27
3.63x + 0.53y + 1.64z <= 444.99
-8.91x + 6.42y + 2.55z <= 723.18
5.61x + 9.18y + -9.83z <= 526.94
-3.84x + -2.3y + 6.78z <= 179.89
1.83x + -4.22y + -2.29z <= 964.25
-5.82x + -3.21y + 3.82z <= 312.06
1.78x + 1.38y + -5.02z <= 218.57
-1.14x + 0.85y + 9.66z <= 862.08
-4.48x + -5.31y + -4.49z <= 765.31
3.97x + 0.51y + -9.63z <= 981.98
7.28x + -1.18y + 1.15z <= 830.17
3.58x + -5.66y + -8.85z <= 271.5
4.09x + -1.3y + 4.42z <= 398.58
1.4x + 5.39y + -6.76z <= 128.68
-1.43x + 4.44y + 4.46z <= 792.22
-7.73x + -6.17y + -6.68z <= 864.34
9.03x + -3.54y + 7.7z <= 556.11
-2.62x + -3.31y + -2.84z <= 760.18
2.57x + 1.45y + 5.66z <= 867.1
4.03x + 2.02y + 5.13z <= 364.45
-0.81x + 6.94y + -8.67z <= 106.06
-0.46x + 3.37y + -8.06z <= 558.53
0.34x + -1.35y + 5.19z <= 420.58
-5.62x + 1.14y + 9.55z <= 251.8
-0.57x + -9.46y + -1.43z <= 175.06
0.02x + -4.75y + 3.0z <= 258.1
-3.76x + 5.15y + 3.42z <= 698.27
-6.71x + -8.65y + 9.09z <= 151.66
-7.39x + -6.33y + 9.61z <= 266.01
-0.62x + 8.32y + -5.62z <= 347.12
7.24x + -1.67y + -1.35z <= 478.47
3.52x + 9.03y + 5.45z <= 541.61
-5.6x + -5.88y + 0.44z <= 575.09
0.16x + 2.24y + 3.52z <= 606.35
6.28x + -7.04y + -4.65z <= 374.27
-5.6x + 0.29y + -1.23z <= 887.88
-7.17x + 3.35y + 9.41z <= 464.05
-4.36x + -0.8y + -1.78z <= 589.33
-4.37x + 5.51y + -7.94z <= 622.49
-1.72x + -3.19y + -9.83z <= 112.35
-9.47x + -4.07y + 6.88z <= 981.33
-8.57x + 7.7y + -3.62z <= 322.94
-0.25x + -4.18y + -9.54z <= 872.25
6.52x + -3.87y + 7.57z <= 378.11
-9.78x + 8.19y + -6.77z <= 733.01
1.42x + 2.1y + -0.77z <= 791.25
3.47x + -8.48y + -9.11z <= 125.91
0.65x + 6.06y + 1.01z <= 560.03
7.9x + 4.68y + -7.93z <= 158.03
-1.26x + 7.98y + -2.68z <= 676.72
-2.94x + 3.41y + -5.29z <= 983.61
-5.14x + -4.55y + -2.76z <= 911.41
-3.84x + 8.19y + 9.81z <= 250.06
-2.96x + -9.99y + -6.7z <= 969.9
-8.34x + -5.94y + 8.81z <= 947.16
7.82x + -9.86y + -5.1z <= 745.42
-6.25x + 5.88y + 2.8z <= 328.38
-1.03x + -9.57y + 4.87z <= 483.16
-4.62x + -3.24y + -5.89z <= 673.76
7.96x + 9.14y + 7.14z <= 205.24
8.61x + -8.86y + 1.24z <= 257.23
-2.78x + 8.37y + -5.52z <= 267.56
-5.49x + 8.04y + 1.38z <= 966.47
5.44x + -1.05y + 2.49z <= 167.47
2.87x + -5.28y + -6.24z <= 802.58
4.75x + -7.82y + -7.74z <= 389.78
-3.7x + -0.76y + 9.21z <= 116.48
9.74x + 5.89y + 5.54z <= 470.79
6.24x + -3.24y + 3.33z <= 560.28
-4.41x + 5.21y + 7.98z <= 251.4
1.87x + 7.49y + -4.61z <= 724.03
5.58x + -3.91y + 8.33z <= 571.12
1.44x + 9.38y + 4.83z <= 494.19
9.82x + 0.43y + -5.47z <= 410.96
8.19x + 1.36y + -6.65z <= 866.45
-2.9x + -2.05y + -9.34z <= 259.05
2.34x + -8.08y + -9.7z <= 193.95
-6.37x + 2.44y + 8.93z <= 983.47
-5.38x + 6.75y + 7.18z <= 480.64
2.31x + -2.44y + 2.06z <= 928.76
7.91x + -5.45y + 7.0z <= 572.94
5.5x + -3.93y + -6.6z <= 985.42
-8.88x + -9.45y + -3.45z <= 831.18
8.76x + 9.4y + 7.17z <= 782.43
3.14x + 1.4y + 1.82z <= 769.39
-0.43x + 1.83y + 6.69z <= 632.95
-2.7x + -4.42y + -3.12z <= 751.22
1.85x + 1.66y + -0.3z <= 145.65
-3.46x + 0.64y + -3.83z <= 450.03
2.88x + -2.8y + -0.25z <= 415.26
-6.68x + 1.8y + 4.53z <= 280.23
-9.02x + -6.68y + -1.22z <= 619.41
7.75x + 8.94y + 1.84z <= 792.33
-7.75x + 0.83y + 4.22z <= 823.24
-3.02x + 5.13y + -5.22z <= 550.74
4.75x + -1.85y + 3.26z <= 818.25
-0.35x + -3.35y + 3.33z <= 734.42
4.64x + -5.81y + -1.22z <= 265.65
