#result not equal
# convex result: (15.38232,17.87768) os tool result: None
max 71x + 43y
1.9559619601931644x + -29.79554957590868y <= 35286
-53.4255401643992x + -13.65953451990218y <= 43881
65.22219066056886x + 17.980853097441212y <= 52982
-18.840519629443037x + 64.44170776956508y <= 83033
76.10716749225423x + -47.81966326583489y <= 91583
52.55587343783748x + -2.798192678670901y <= 61718
-73.65381589287281x + -8.219659978001516y <= 25761
-64.92335621639495x + -83.90150090429916y <= 75446
89.90610960674599x + 83.53801734721117y <= 89315
-35.99308816414167x + -38.546659697163044y <= 55790
-14.296854245579226x + 69.6019675979154y <= 69090
8.394489515682338x + 39.99649171549916y <= 87375
7.347744415303254x + 55.18243882781698y <= 96710
46.48499597144789x + -6.727851888424908y <= 21380
79.178615176379x + -3.3009685212502404y <= 88652
99.31694390347269x + -61.564088216289335y <= 59020
-49.06807166184271x + -61.08471662304067y <= 93929
36.709924032089646x + -72.78357637183042y <= 39125
81.61148621254213x + 66.96473456641431y <= 92270
-90.43924149274201x + 82.07145323050105y <= 14070
47.96311371100768x + 34.391110355865095y <= 40237
55.782555209917035x + -72.57055061408147y <= 23937
-31.86705880659764x + 79.14754795379451y <= 96795
69.40571231130707x + -80.15184832661937y <= 24844
56.66680962545806x + -1.8800357527681655y <= 48551
-21.894602351762373x + 44.501291419656155y <= 54792
-75.60268720429292x + 31.68246610572382y <= 86255
-9.942536200602262x + -12.025916846924318y <= 89561
-4.0031973959887495x + -38.208346057084476y <= 62011
2.794033254767484x + -27.8771307010649y <= 85712
40.14675845272828x + -80.69193695504013y <= 54054
-28.72606707716247x + -32.22722700717635y <= 68793
39.00891035720491x + -53.34442966131871y <= 30495
20.11554783996749x + 70.25271006840106y <= 31819
14.451930884672691x + 27.556522665147654y <= 86878
-97.20813889300143x + -58.023554146023606y <= 45201
-50.90781700192768x + -93.46347366951855y <= 15685
89.04527017959282x + -30.97506272312384y <= 90050
-73.8555211425037x + -76.49149972213309y <= -3174
-40.94080279820427x + -49.32524690147817y <= 49324
-11.784470814798496x + 13.205678166370788y <= 27962
-73.76456336272994x + 92.10312934737527y <= 73769
-63.19893501893898x + -18.60016521168926y <= 76961
-73.15234089794278x + 19.18055771819857y <= 43461
63.412577782809905x + -12.431892708807581y <= 53030
76.88260561659627x + 28.344523656129297y <= 84655
-86.94333088142825x + 65.0330288007714y <= 49088
-89.36740726241182x + 57.633847394458854y <= 77728
89.02832701411108x + -44.32437471616009y <= 97493
-24.307679066275682x + 36.181836957940874y <= 21847
-60.954085632046365x + -43.586880836326955y <= 3177
66.38229151961082x + 79.27134792767515y <= 30918
9.931427517609976x + 31.364398133171306y <= 21419
-62.56760734869913x + -19.830512342790513y <= 80643
77.14414841701551x + 25.638454770897184y <= 30642
-33.51595456986726x + -95.5853745635735y <= 55010
28.737486381645795x + 84.57721043778525y <= 72796
-22.44843067901219x + -16.28309033405945y <= 3345
56.26649464982674x + 75.6601540248343y <= 3922
75.41154592120651x + -39.97841717921011y <= 97721
-74.01245138876477x + 60.94536344658914y <= 30772
83.80968018522685x + -37.44952453737864y <= 10843
-76.65333360535263x + 52.530132563587415y <= 14940
-20.71257018999617x + -86.01063292115158y <= 60226
-65.23299598523454x + 83.99715532067421y <= 64051
0.4395698202444436x + 55.17203054578408y <= 57378
86.9047197123935x + 34.38704978712997y <= 53292
-11.206019995584597x + 84.9939465644218y <= 7309
-68.51967857933236x + -70.31550267265175y <= 22896
10.796182230297973x + -68.6079753776529y <= 9294
-43.78516507573509x + -98.47121144394093y <= 52915
-0.4788980482284728x + -47.03291964094598y <= 41113
40.12882424172099x + 18.124485572802215y <= 41131
-92.69278020313101x + -77.10337372869589y <= 10682
82.84391810631604x + -15.105895360428079y <= 79147
95.0390777279811x + -79.44264374633654y <= 95716
62.92952258263227x + 43.04574603509545y <= 56260
33.27999241336374x + -85.27707650232897y <= 73631
-56.59140631144941x + -85.93590880189896y <= 96972
53.72823725015027x + 96.41613017452585y <= 60106
-21.040341514170763x + -43.02126378893574y <= 88717
32.46432537338637x + 82.77189852801169y <= 41438
-91.01966047893364x + 79.02497176740138y <= 41599
19.26393115551855x + -59.181976897761146y <= 49780
-93.47127078375243x + -55.92818285295411y <= 42394
57.095904039728936x + 54.440584292785786y <= 3481
-30.084389643599692x + -29.55650346592438y <= 13627
71.08882666267488x + -2.7077597827128557y <= 42410
8.249972098236924x + -39.26114994704022y <= 91332
71.79789988403306x + -90.7215867303295y <= 94411
-43.290288956052734x + -31.60107003248882y <= 77783
-64.28532236336738x + -16.296910810859046y <= 80096
-98.31015194421929x + -32.23436825928363y <= 80541
1.9450510997662178x + 28.326178086108314y <= 39736
12.381429961005281x + -25.436139023934885y <= 26990
37.62889795882498x + 51.01617564894221y <= 81454
3.5584869129206282x + 4.042678248822384y <= 13075
-92.34071070218191x + -6.988268442758553y <= 11196
-25.880019498524476x + 63.87179313416328y <= 97000
-48.240163182062055x + 87.21644481371632y <= 75473
-37.110705965852134x + 94.63946361803721y <= 57093
70.76341370801705x + -53.27685653815806y <= 31729
-7.686337866724273x + 3.1300827738259187y <= 51376
39.51494423608503x + 87.14166213722703y <= 80835
-15.049278871168454x + 77.51714154041883y <= 5433
95.78836020268449x + -66.77430143229552y <= 98625
-64.39175685829409x + -76.351663828979y <= 92735
4.960755521157026x + -70.38511084281257y <= 90843
-30.697957563420303x + -35.36684669427082y <= 41778
9.030810446150511x + -60.43293867799782y <= 2998
21.115407386826732x + 16.710382454091928y <= 50595
43.335101563300924x + -65.8556853769201y <= 36903
-75.38327184690887x + 61.76596417082658y <= 88043
99.00416298563078x + 91.00026741079344y <= 56799
-9.452650169513092x + -72.79726300605986y <= 48278
-44.28784240562407x + -35.59980352329448y <= 89266
63.614681858180234x + -59.738579591198885y <= 23474
71.02414471302825x + -19.047084450690647y <= 47407
98.30282858300586x + -51.384675288956494y <= 69011
-44.09443720402435x + -83.64079439147389y <= 57565
-55.3234414846808x + 43.82269718348769y <= 47783
-38.514567484806086x + 13.218280752896888y <= 81186
28.811620699444774x + -72.78121429271289y <= 62179
35.1930363208551x + -42.05842384709268y <= 93660
-61.82628219421839x + 12.18976418494104y <= 22856
77.71431932041867x + 38.27089639639786y <= 98946
-91.2501696773052x + -97.39762832715635y <= 81462
31.453810994921184x + 61.23046106667931y <= 11333
-22.046128190073787x + -77.31675184738735y <= 55333
48.51150934076969x + -30.994216668395254y <= 73705
-60.151694132544065x + -22.88663710278709y <= 34706
1.7475043928216252x + -77.21151206487858y <= 40995
-48.286555548484664x + -5.99403936420191y <= 25713
40.94412649764837x + -11.01590967268477y <= 11190
70.79410240860216x + 94.41919257047434y <= 64742
71.46338358501549x + 75.65144664968372y <= 65958
33.40254760318783x + -51.82124177440841y <= 39641
-86.5091324765928x + 52.16592908640902y <= 91462
30.78678239415214x + 27.92394184388192y <= 93534
90.33206675143563x + 51.84976637573641y <= 90147
-44.03888179084612x + 9.732176735709032y <= 43429
68.0751374794684x + -91.37546338320972y <= 72254
-53.34173363259356x + 67.80924909585718y <= 76287
37.43159639009562x + -46.38410164556408y <= 68058
59.885179718011074x + 61.8534593237884y <= 17276
-41.05968095074894x + 82.7469584526105y <= 95439
-65.89622068201771x + -16.449776721080696y <= 58077
-63.667695634224295x + -13.26674333923745y <= 47703
-79.8640630659728x + -89.40664813882256y <= 43505
32.12422525067794x + 48.471500465917416y <= 2047
45.999024951098875x + -66.93919559635975y <= 9146
42.451210702700706x + 75.2218754139138y <= 74737
-34.62116167629843x + 95.36539881783264y <= 9341
65.36131958777239x + 26.712322491865166y <= 44084
-3.2931141484767465x + 17.02969654339421y <= 12292
73.61338765434724x + 35.815353984824014y <= 45042
2.549680004670023x + 7.770600496402395y <= 62604
96.2499851550862x + -4.2822550649146365y <= 65004
-84.95867966230502x + -35.00479547968966y <= 51312
-78.43541898794908x + 6.075096838829836y <= 46760
0.2565318234311462x + 90.32930251822796y <= 34090
-46.9704136499469x + -62.0546993688176y <= 52429
86.17832962122472x + -8.755170809221283y <= 46158
-58.3684752029279x + 31.583555429723162y <= 36898
99.32001267808147x + -29.926190996567527y <= 29554
4.182683910316214x + -29.968575315188843y <= 90767
-74.07964502319437x + 42.945140866922515y <= 64747
