#convex solver has no solution but os tool has
# convex result: None os tool result: (0.56844,10.91948)
max 1x + 1y
7.8533x + -6.8268y <= 509
-4.0362x + 4.8804y <= 108
-0.3096x + -3.5898y <= 860
-9.8921x + 1.972y <= 876
-9.1506x + 6.7891y <= 687
3.1726x + 0.2312y <= 600
2.0262x + 1.6442y <= 810
-0.4334x + 9.5458y <= 841
-3.5582x + -5.7566y <= 322
-6.5691x + 9.4103y <= 756
-4.2449x + -4.9654y <= 277
4.7358x + -3.3419y <= 765
-2.4107x + 6.1014y <= 929
-0.45x + 0.5124y <= 867
-3.4185x + 4.4966y <= 250
4.6319x + 1.2992y <= 324
-4.5285x + 9.4118y <= 127
-0.3743x + -7.8895y <= 780
-1.1967x + 0.3991y <= 818
-5.729x + 3.4156y <= 425
5.958x + 4.979y <= 603
-5.3234x + -2.9205y <= 301
-0.8171x + -4.1595y <= 317
9.2641x + -8.6355y <= 634
1.4044x + -4.3257y <= 230
9.3039x + -0.1036y <= 573
-7.7822x + 6.0045y <= 862
-1.1621x + -6.9451y <= 573
-5.8135x + 1.4981y <= 704
5.3563x + -0.8421y <= 749
-9.8059x + -1.6755y <= 432
-1.5816x + 3.6257y <= 555
9.754x + -8.8675y <= 175
4.7307x + 9.2017y <= 768
2.6901x + -5.7266y <= 553
-0.3339x + 0.0413y <= 498
-9.0795x + 5.2953y <= 876
2.2973x + -1.5585y <= 804
5.2216x + 2.1595y <= 950
3.3729x + -5.7921y <= 428
-7.7227x + 0.0538y <= 308
5.1342x + -7.4004y <= 804
1.1417x + 9.6953y <= 690
8.3346x + -7.1969y <= 827
9.2012x + -2.4654y <= 480
0.0373x + -5.9097y <= 904
8.6679x + -6.695y <= 535
5.8933x + 3.0859y <= 623
8.7091x + -7.1871y <= 568
-1.0721x + -4.6183y <= 421
5.2655x + 8.7372y <= 547
-2.3536x + 5.4952y <= 175
-0.8393x + -8.5795y <= 512
-4.0799x + -9.9991y <= 550
-2.3693x + -6.5239y <= 172
-4.3622x + 4.3711y <= 495
-3.89x + -3.8862y <= 251
2.5758x + -2.3704y <= 791
1.8496x + -1.3702y <= 184
9.4412x + -2.4163y <= 272
6.6518x + 5.5473y <= 755
3.7217x + -1.2411y <= 454
-4.3448x + -0.7494y <= 357
2.6057x + 3.7535y <= 338
4.9666x + 6.3864y <= 611
5.0633x + 3.9092y <= 182
2.3488x + 1.5788y <= 720
4.8268x + -0.1433y <= 374
-6.2566x + 2.5026y <= 493
7.9824x + 5.5329y <= 417
-9.6575x + 3.9778y <= 714
-9.5068x + -3.8824y <= 725
7.3432x + -7.8728y <= 880
0.2771x + 5.5004y <= 379
-8.6522x + -5.9495y <= 477
3.6418x + 9.7943y <= 850
9.6544x + 8.4542y <= 375
-5.2569x + -4.3376y <= 217
-9.4668x + 0.77y <= 842
1.488x + 3.211y <= 960
-9.9555x + 5.7076y <= 807
-3.7632x + 2.2765y <= 170
3.4603x + 7.4821y <= 155
4.9848x + -9.9936y <= 325
0.0117x + -9.9488y <= 307
-9.8174x + 5.3359y <= 898
0.3549x + -1.1781y <= 976
-4.7914x + -7.5447y <= 398
-5.3988x + -0.3556y <= 703
9.6375x + 8.4169y <= 111
4.3321x + -9.5612y <= 509
-9.3463x + 4.4536y <= 965
7.1927x + 9.6854y <= 546
6.9419x + -9.8252y <= 748
1.1345x + -9.891y <= 785
9.0666x + 5.8496y <= 712
2.1876x + 4.9421y <= 288
-7.346x + 4.4599y <= 890
2.8592x + -2.8071y <= 359
4.6508x + -5.842y <= 398
9.5244x + 5.8075y <= 300
1.6013x + 0.0748y <= 611
-0.3409x + 8.9629y <= 600
2.9055x + 7.0928y <= 165
0.2312x + -7.2378y <= 864
-3.5489x + -0.6715y <= 376
4.1194x + -4.9884y <= 260
1.1585x + -5.4402y <= 321
2.4073x + 3.9423y <= 645
8.3008x + -2.1087y <= 548
-9.4401x + -0.8201y <= 423
9.1468x + 1.4967y <= 272
8.8073x + -2.473y <= 139
-5.3207x + 4.3841y <= 331
5.2758x + 1.1425y <= 869
4.2365x + -8.9226y <= 169
0.1739x + 8.6131y <= 587
-9.8172x + 5.8143y <= 425
-2.94x + -6.7434y <= 233
-3.3124x + 8.2953y <= 837
3.4101x + 6.0753y <= 801
-7.2881x + 2.3325y <= 424
1.7593x + -8.8255y <= 285
3.2608x + 1.559y <= 388
-2.0962x + 9.7624y <= 209
8.2395x + -2.861y <= 699
-1.5983x + 6.9179y <= 470
-3.1168x + -2.3331y <= 728
-6.8863x + -5.6009y <= 625
-9.7301x + 0.6168y <= 403
-3.9071x + -0.287y <= 753
4.9709x + -8.5319y <= 880
-2.2115x + 8.9589y <= 210
4.8062x + -7.287y <= 286
9.6167x + -4.4429y <= 472
1.1646x + 2.701y <= 230
6.1591x + 6.4635y <= 792
4.3578x + -6.1587y <= 256
6.2385x + -2.2904y <= 822
1.9241x + 4.3801y <= 702
5.9075x + 6.2077y <= 554
-9.6248x + 7.3419y <= 850
-7.3234x + -4.025y <= 359
-7.8186x + -3.0773y <= 503
7.8242x + 9.903y <= 991
3.4694x + -9.4334y <= 149
-2.2652x + -7.1114y <= 821
-5.786x + -2.212y <= 982
0.4035x + -9.9253y <= 390
2.7121x + 3.4569y <= 834
-1.8025x + -2.5029y <= 647
-6.7766x + 0.5768y <= 917
6.7387x + -9.6048y <= 148
-7.0804x + 5.1064y <= 781
1.0019x + -1.3468y <= 186
5.1135x + -2.4351y <= 791
-9.6148x + 3.057y <= 150
0.147x + 1.2067y <= 588
-9.8024x + 2.4951y <= 263
-9.0893x + 9.6638y <= 741
-7.6603x + 6.9852y <= 293
-1.8836x + 6.3261y <= 581
-0.5559x + 7.1348y <= 556
-5.7709x + -9.1306y <= 311
-9.1637x + 6.9055y <= 100
1.7896x + 1.0717y <= 566
-0.9913x + 0.1422y <= 232
-9.6819x + -3.7949y <= 711
-3.1049x + 9.9992y <= 718
-1.5824x + -2.6135y <= 682
4.1275x + -1.1771y <= 785
1.2176x + 9.1698y <= 457
1.5107x + -2.6654y <= 678
0.222x + -9.6332y <= 546
6.655x + -2.3525y <= 308
-3.8784x + -8.4728y <= 245
9.5534x + -8.3527y <= 205
-1.069x + -6.2256y <= 729
-1.3711x + -1.3231y <= 879
9.3858x + 3.5961y <= 187
-7.3019x + 4.5561y <= 365
3.1572x + 5.6821y <= 909
0.2337x + 9.9501y <= 782
-7.9324x + 0.5824y <= 680
-5.0106x + -1.092y <= 409
3.0597x + 3.4339y <= 923
7.3736x + 7.2917y <= 278
4.1225x + 4.2836y <= 426
1.0168x + 8.8481y <= 821
-9.4424x + 3.2111y <= 645
-7.1265x + -5.6117y <= 229
-8.3384x + 6.5646y <= 954
-3.8267x + 2.1677y <= 101
4.7018x + 3.3115y <= 418
-8.8919x + -9.3543y <= 321
6.7291x + -8.043y <= 290
6.3053x + -8.4909y <= 414
2.7564x + 2.5714y <= 420
2.1334x + -9.1898y <= 502
9.9811x + -3.1197y <= 307
8.5878x + 7.4946y <= 649
-1.0653x + -1.7899y <= 421
-0.1272x + 7.0863y <= 163
0.5886x + -7.6093y <= 803
-6.9988x + 7.7511y <= 750
-3.3877x + -1.0973y <= 633
-5.5761x + 1.2407y <= 833
