#convex solver has no solution but os tool has
# convex result: None os tool result: (14.63172,6.98289)
max 10x + 6y
5.9355x + 4.6046y <= 119
0.948x + -5.9865y <= 416
5.0432x + 6.0731y <= 829
-7.7916x + -2.9717y <= 315
5.7861x + 6.1301y <= 668
-0.8117x + 9.3255y <= 245
6.4622x + 8.0379y <= 874
-4.5841x + 8.6311y <= 969
9.8565x + 0.8913y <= 724
7.4127x + -3.4018y <= 105
3.9669x + 2.5446y <= 216
-8.5296x + 8.2001y <= 145
-4.6479x + 0.0043y <= 736
4.3935x + 8.1158y <= 342
9.6934x + -3.5698y <= 430
4.4213x + 9.4397y <= 731
7.217x + 9.7755y <= 489
-7.4596x + -1.9352y <= 798
-6.403x + 4.8274y <= 239
-0.7262x + 0.3384y <= 356
8.153x + -4.7416y <= 465
-3.5065x + -7.5994y <= 170
8.4921x + -5.838y <= 597
-6.4419x + 3.7775y <= 686
-8.4013x + -8.2586y <= 449
9.4909x + -7.6678y <= 822
-3.9174x + 5.0252y <= 314
-3.482x + -6.3844y <= 161
3.6694x + 0.3521y <= 424
-3.9283x + 6.5332y <= 620
2.5904x + -2.2536y <= 467
0.9129x + 8.6825y <= 309
-7.8071x + 7.919y <= 833
0.7369x + 3.0308y <= 978
9.7506x + -4.5351y <= 111
-6.6902x + -4.1873y <= 538
4.8517x + -7.9128y <= 172
9.5222x + -5.3713y <= 358
-2.4674x + 0.4506y <= 411
-0.0938x + -3.5268y <= 508
-1.1487x + 8.7228y <= 655
-3.8163x + -8.2095y <= 244
-5.0816x + -2.7441y <= 127
2.555x + -7.2119y <= 313
4.3402x + -9.4377y <= 706
-0.8872x + -1.0415y <= 311
1.572x + 4.4195y <= 576
3.8184x + -9.9642y <= 845
7.3051x + 5.5384y <= 551
6.4347x + -4.8474y <= 232
8.8744x + -1.8155y <= 524
-9.0182x + 6.3631y <= 837
-1.1579x + -2.5383y <= 915
6.1724x + -4.4078y <= 577
-8.6184x + 7.447y <= 132
-4.8251x + -3.1025y <= 983
7.0264x + -3.9252y <= 282
-8.8411x + -8.3761y <= 305
-9.7422x + 1.6182y <= 643
-3.6219x + -6.1334y <= 301
9.6088x + 2.506y <= 740
5.1011x + 1.6859y <= 584
-4.3759x + -6.293y <= 513
-5.0238x + -2.9626y <= 573
2.6661x + 4.7897y <= 705
8.7138x + 7.6143y <= 957
2.1051x + 4.9178y <= 501
-8.1691x + -1.6835y <= 203
-8.0451x + -4.3986y <= 875
-6.1029x + -6.6798y <= 982
-1.8487x + 4.6571y <= 826
5.9211x + 9.0503y <= 366
-3.3812x + 0.2151y <= 521
-6.9316x + 2.9273y <= 945
-7.5114x + 8.3347y <= 183
-8.6785x + 7.139y <= 615
6.8172x + 1.9885y <= 308
-9.4083x + -7.747y <= 878
-7.4573x + 4.7451y <= 424
3.6186x + -9.5579y <= 688
2.6728x + 2.1886y <= 232
6.4727x + -9.5602y <= 875
0.9952x + -7.2196y <= 458
6.8833x + -5.1976y <= 392
-8.8531x + -1.9694y <= 445
-0.6196x + -9.7882y <= 436
8.2628x + -9.3667y <= 785
-7.6149x + -2.8948y <= 873
1.0985x + -4.2835y <= 853
0.503x + -1.0759y <= 172
3.9544x + 9.1868y <= 953
3.2594x + -1.2383y <= 514
3.7903x + 7.9144y <= 436
-2.8276x + 3.4937y <= 863
0.1678x + -4.5403y <= 913
-7.8265x + -8.3914y <= 581
7.9964x + 2.0882y <= 633
4.6665x + -4.4352y <= 426
7.5748x + -5.5575y <= 462
-6.2092x + -0.114y <= 524
-7.7343x + -9.6991y <= 996
7.3413x + -6.706y <= 693
-7.9772x + 0.6596y <= 903
-0.8966x + 3.701y <= 903
2.9184x + 9.4942y <= 474
-0.6067x + -8.5619y <= 536
-9.9345x + -3.6059y <= 625
7.0516x + -8.3404y <= 743
2.2311x + 5.7341y <= 344
-0.0746x + -1.7457y <= 321
#-----------------program end-----------------
