#convex solver is unbounded  but os tool has solution INFEASIBLE 

# convex result: UNBOUNDED os tool result: INFEASIBLE
max 8.77x + -0.09y
1.36x + 8.76y <= 271.2
-4.45x + -2.4y <= -430.23
0.65x + 4.37y <= -281.35
-1.3x + 4.68y <= 546.19
-8.18x + -0.48y <= 774.91
-0.76x + 5.48y <= 805.03
-7.79x + -5.49y <= -755.37
-4.29x + 5.14y <= 828.8
-5.64x + 0.13y <= 874.3
-5.58x + 0.66y <= 694.88
3.42x + 8.72y <= 252.19
-6.17x + 6.67y <= 937.31
-5.16x + -0.06y <= 114.39
-4.82x + 8.91y <= -329.49
-9.39x + -9.22y <= 943.72
-2.29x + 4.27y <= 699.0
-8.14x + 0.81y <= 451.46
-3.02x + 9.04y <= 663.65
3.91x + 9.1y <= 157.99
-5.5x + 3.16y <= 143.87
-8.64x + 8.97y <= -530.06
-9.52x + -4.55y <= 964.64
-0.26x + 4.48y <= 142.49
-4.62x + -0.31y <= -796.87
-7.18x + 5.88y <= 460.72
-5.34x + -4.41y <= 254.75
-5.85x + 9.62y <= 573.82
3.08x + 7.35y <= 327.03
-3.31x + -3.46y <= 395.29
-1.28x + 6.92y <= -626.08
-0.28x + 1.42y <= 704.43
6.0x + 6.58y <= -652.44
4.78x + 6.79y <= -831.55
-6.33x + 8.7y <= -812.87
0.27x + 4.48y <= 426.75
7.86x + 9.87y <= -831.08
-5.77x + -2.46y <= -806.39
-7.58x + -0.15y <= -888.45
-9.09x + 8.78y <= 757.09
-0.14x + 7.72y <= -994.64
-1.59x + 0.08y <= -100.2
3.59x + 5.71y <= 733.67
-6.79x + 4.14y <= -542.93
4.28x + 9.84y <= 198.05
-9.35x + -3.84y <= 290.4
-3.73x + 6.78y <= -892.61
-9.91x + 5.23y <= -638.08
-7.32x + -6.75y <= 168.12
-1.74x + 8.7y <= 113.55
-5.22x + 7.82y <= -740.46
-1.02x + 3.34y <= 542.06
6.09x + 8.74y <= 587.69
-4.53x + -4.42y <= 311.73
-7.02x + -5.4y <= -426.99
5.83x + 8.63y <= 414.74
-6.4x + 4.22y <= 704.99
-8.86x + -5.54y <= 435.39
-8.02x + -0.79y <= -790.48
2.64x + 8.74y <= 489.89
-8.49x + 3.54y <= -101.14
-3.82x + -2.9y <= -561.38
-3.77x + 8.91y <= -112.28
-9.94x + -9.65y <= 832.75
-2.11x + 6.9y <= 859.18
-5.46x + -1.83y <= 106.13
-8.62x + 1.15y <= -150.31
-6.72x + -5.76y <= -832.57
-9.71x + -8.66y <= 610.59
3.68x + 9.97y <= 698.09
-9.08x + -4.33y <= 838.3
-6.24x + 8.06y <= -810.38
-2.9x + 2.17y <= 251.73
0.09x + 4.05y <= 127.85
-7.58x + -1.0y <= 135.03
-8.98x + 4.76y <= 629.6
-8.28x + -3.6y <= 849.05
-3.29x + 4.11y <= -623.44
-5.74x + 2.09y <= 831.33
-9.22x + -0.47y <= -495.04
-4.36x + 4.71y <= 476.79
-6.64x + 7.63y <= 446.3
-3.2x + 1.14y <= 727.81
-6.57x + 6.88y <= -183.26
-8.24x + -8.66y <= -251.81
3.31x + 8.44y <= -459.64
-5.87x + -3.5y <= -135.8
-6.74x + 7.86y <= 685.23
-2.44x + -2.03y <= 189.46
1.66x + 7.46y <= -409.4
2.89x + 4.08y <= 942.99
-3.73x + 0.24y <= -333.21
-2.23x + 9.33y <= -597.68
-2.58x + 7.64y <= -168.8
-7.4x + -0.32y <= -604.12
-8.61x + 2.11y <= -465.49
-9.35x + -4.54y <= -723.86
-7.6x + 6.36y <= 314.36
2.46x + 5.02y <= -993.67
0.44x + 0.92y <= 448.85
-3.75x + 3.24y <= 434.88
-7.53x + -2.74y <= 902.85
-2.37x + 9.21y <= 652.63
-7.24x + 2.85y <= 681.37
1.46x + 6.74y <= -612.21
-5.98x + 2.69y <= -576.87
-8.7x + 5.02y <= 136.05
2.42x + 6.36y <= -157.79
-3.86x + 1.18y <= -574.1
4.18x + 5.8y <= -485.45
-8.4x + 0.01y <= 324.08
#-----------------program end-----------------
