#convex solver is unbounded  but os tool has solution INFEASIBLE 

# convex result: UNBOUNDED os tool result: INFEASIBLE
max -8.37x + -8.84y
5.03x + 1.46y <= -590.87
-9.03x + 6.98y <= 996.79
0.92x + 2.37y <= -319.48
-8.44x + 6.49y <= -968.26
5.43x + 6.85y <= -614.49
-3.37x + 8.34y <= 243.97
-3.71x + 6.08y <= -841.79
0.97x + 7.38y <= 560.52
0.93x + 4.86y <= -368.92
4.96x + -2.67y <= 566.54
8.81x + 9.6y <= 110.92
7.78x + 1.97y <= 146.93
9.65x + 9.76y <= -413.8
0.66x + 9.1y <= 183.0
4.93x + 1.81y <= -643.36
2.71x + 1.67y <= -376.6
-4.41x + 4.1y <= -282.25
-9.03x + 7.22y <= -217.44
3.91x + 6.15y <= -734.09
-6.93x + 5.42y <= -624.84
4.87x + 4.87y <= -745.87
-5.36x + 5.54y <= -531.05
7.51x + 1.33y <= -383.33
9.95x + 6.73y <= -287.65
-8.72x + 8.86y <= 961.08
3.51x + 3.99y <= 141.72
9.89x + 8.13y <= -143.91
-4.75x + 4.01y <= 920.95
-8.41x + 6.97y <= 337.03
0.16x + 0.43y <= 656.82
6.89x + -2.03y <= -541.28
6.52x + 3.07y <= 598.47
5.32x + 7.82y <= -251.14
9.2x + 4.22y <= -780.0
2.87x + 0.64y <= 103.41
8.78x + -1.84y <= 209.17
9.06x + 8.31y <= -150.36
-2.74x + 2.02y <= -387.11
8.91x + 9.23y <= -727.06
-2.38x + 6.69y <= 262.66
7.32x + 2.3y <= -714.53
-3.18x + 9.37y <= 395.94
0.77x + 6.56y <= 251.84
9.9x + 6.58y <= -452.32
1.91x + 7.44y <= 359.53
2.56x + 8.19y <= -295.18
2.6x + 0.49y <= 872.54
-3.77x + 6.67y <= -760.47
8.98x + -2.62y <= 531.94
8.4x + 9.07y <= -590.86
6.79x + 1.58y <= -595.97
2.06x + 5.11y <= 837.15
3.29x + 5.75y <= 549.35
-4.46x + 8.45y <= -286.99
-4.87x + 3.54y <= 936.79
7.67x + -3.48y <= -907.9
0.12x + 8.0y <= -109.44
6.05x + 1.35y <= -731.16
4.52x + -3.17y <= -310.43
-7.25x + 7.25y <= 182.63
-2.32x + 6.02y <= 219.14
3.76x + 8.49y <= 960.27
3.67x + 3.25y <= -850.18
5.08x + 0.38y <= 205.27
2.58x + 1.12y <= -388.73
9.65x + 7.15y <= 549.26
1.78x + 9.95y <= -576.59
1.06x + 4.68y <= -893.81
7.38x + -5.06y <= 966.67
3.76x + 5.0y <= 432.86
7.79x + -0.43y <= -188.08
9.56x + 8.61y <= 696.93
3.55x + 4.73y <= -119.72
2.69x + 9.19y <= -585.51
7.64x + 2.17y <= 794.62
-1.91x + 9.16y <= -551.61
6.49x + 8.73y <= -567.8
9.09x + 1.11y <= 137.76
0.07x + 4.48y <= -902.22
-2.56x + 8.36y <= -537.32
6.35x + 2.54y <= 129.37
3.56x + 3.33y <= 772.4
1.35x + 4.96y <= -607.34
4.83x + 2.13y <= 920.33
8.23x + 3.52y <= 327.23
1.56x + 0.3y <= -727.27
-0.37x + 5.82y <= 374.81
9.96x + 8.59y <= 467.66
-5.56x + 9.47y <= 779.99
5.61x + 7.46y <= 291.74
8.94x + -2.84y <= 119.71
1.16x + 9.73y <= 920.14
-2.57x + 8.12y <= -192.09
0.27x + 0.88y <= -329.48
7.53x + -3.39y <= 554.15
8.59x + 8.99y <= -695.42
-5.7x + 5.01y <= 288.42
-1.14x + 4.32y <= -248.15
8.18x + 9.48y <= 442.76
3.84x + 6.56y <= 420.24
1.73x + -0.34y <= -922.96
9.91x + 0.82y <= -848.12
6.52x + 2.11y <= -934.21
9.91x + 1.6y <= -624.93
8.25x + 0.63y <= -109.99
2.74x + 6.2y <= 441.41
3.46x + 9.27y <= 741.07
7.83x + 1.95y <= 628.08
-0.14x + 5.63y <= -569.43
6.09x + 1.99y <= -515.12
#-----------------program end-----------------
