#convex solver is unbounded  but os tool has solution INFEASIBLE 

# convex result: UNBOUNDED os tool result: INFEASIBLE
max -4.22x + 1.66y
3.48x + -9.63y <= -417.52
3.36x + -0.29y <= 284.7
1.37x + -7.46y <= -768.88
6.81x + -6.15y <= -801.46
-1.44x + -9.78y <= -458.62
6.21x + 1.93y <= 975.87
9.04x + 2.28y <= 921.31
-0.34x + -0.72y <= 427.25
0.85x + -1.24y <= 520.11
5.26x + 1.1y <= 480.59
-0.15x + -6.97y <= -943.82
-8.68x + -8.77y <= 389.52
4.01x + 1.49y <= 943.2
4.79x + -4.69y <= -109.73
2.68x + -1.93y <= 249.75
4.57x + -9.62y <= 509.03
5.21x + 2.35y <= -193.58
9.34x + 5.05y <= 539.55
-0.06x + -4.24y <= -511.94
3.75x + -7.74y <= -926.99
6.74x + -0.39y <= 428.29
8.26x + 2.3y <= 583.32
-6.15x + -5.28y <= 838.49
7.24x + -7.54y <= 259.08
3.96x + -2.48y <= -756.34
8.69x + -2.35y <= 636.41
-0.58x + -3.57y <= -595.16
-9.67x + -8.56y <= -887.97
6.87x + 4.1y <= -204.11
5.81x + -8.87y <= -589.24
-2.28x + -9.07y <= 501.55
6.32x + 1.86y <= 812.19
-6.52x + -8.88y <= -789.99
-1.48x + -9.4y <= -852.46
7.67x + 0.97y <= 645.53
5.41x + -8.26y <= 734.15
2.55x + -0.74y <= 691.6
-0.59x + -2.52y <= 135.39
2.5x + -0.05y <= 428.73
4.11x + -8.28y <= -814.86
1.48x + -3.78y <= 455.71
-6.23x + -5.05y <= -976.49
-1.94x + -5.72y <= 406.72
4.86x + -9.06y <= -806.51
5.18x + 2.87y <= -406.49
6.5x + -5.52y <= -252.28
-8.07x + -6.61y <= 992.84
8.91x + -4.49y <= -835.29
-6.77x + -9.05y <= 239.88
7.3x + 4.31y <= 351.53
2.89x + -9.63y <= 536.55
2.11x + -0.2y <= -741.98
2.65x + -9.83y <= 369.26
2.44x + -9.54y <= 921.53
5.77x + -0.62y <= -289.09
5.86x + -4.0y <= -365.77
6.08x + -1.05y <= 510.25
-3.03x + -4.97y <= -946.24
-0.25x + -3.75y <= 356.04
7.9x + -4.55y <= 345.06
-1.15x + -7.52y <= -181.89
1.15x + -5.97y <= -106.8
5.88x + 3.09y <= 947.46
