#convex solver is unbounded  but os tool has solution INFEASIBLE 

# convex result: UNBOUNDED os tool result: INFEASIBLE
max 7.82x + 9.36y
-8.21x + -5.58y <= 853.13
-1.24x + 8.87y <= 582.21
-0.15x + 8.33y <= 217.98
-8.16x + 9.97y <= -919.91
-9.61x + -1.09y <= 988.72
-3.93x + -4.07y <= -512.86
-1.44x + 0.47y <= -803.71
-9.38x + -2.22y <= 939.89
-1.38x + 0.16y <= -114.69
-6.53x + 1.64y <= 730.55
-7.29x + 7.73y <= 690.16
-4.3x + -3.95y <= 189.87
-0.91x + -1.02y <= 993.09
-7.73x + -9.07y <= 143.05
2.33x + 5.57y <= 513.46
-5.65x + 9.28y <= -668.41
-1.69x + 4.1y <= -750.22
-8.03x + -5.33y <= 254.03
-5.08x + -4.9y <= -965.98
-7.74x + -5.72y <= 107.58
-7.86x + -7.68y <= -179.58
-2.75x + 8.85y <= -789.03
-4.98x + -0.16y <= 694.02
1.92x + 7.96y <= 311.02
1.01x + 8.58y <= 248.57
-4.07x + -1.23y <= -445.89
-1.31x + 4.47y <= 961.67
-4.54x + 2.96y <= 959.29
-3.36x + 8.64y <= -127.11
-9.3x + 6.43y <= 354.48
-0.87x + 0.34y <= 609.96
0.29x + 6.17y <= -440.14
-9.75x + -5.29y <= 813.85
-3.86x + 6.17y <= -207.42
-8.29x + -1.77y <= 733.57
-5.37x + -7.08y <= -828.06
-1.5x + -1.16y <= 343.1
-7.34x + -1.58y <= 128.97
1.69x + 5.53y <= 440.67
-4.02x + 3.42y <= -513.45
-7.63x + 3.44y <= -927.21
2.17x + 9.26y <= 519.04
-7.71x + -7.63y <= -648.43
-2.54x + -0.2y <= 448.78
1.69x + 5.37y <= 649.35
-1.01x + -1.29y <= 821.02
-8.6x + -1.34y <= -457.89
-7.34x + -0.05y <= -429.39
-8.6x + 2.82y <= -167.25
-4.74x + -1.87y <= 702.66
-9.3x + 2.72y <= 377.5
-7.53x + 0.62y <= 435.5
-6.36x + -8.15y <= -656.01
-3.8x + -6.95y <= -593.82
-8.72x + 8.81y <= -443.16
-1.41x + 9.48y <= 857.3
-1.93x + 8.44y <= -523.62
-8.84x + -3.07y <= -373.77
-4.59x + 7.84y <= -293.65
-1.46x + 1.62y <= 579.69
-5.28x + -1.89y <= 306.68
-9.66x + 5.64y <= -165.6
-7.94x + -9.9y <= -866.5
-8.55x + 5.05y <= 696.45
-1.15x + -1.88y <= -631.49
-6.09x + 3.63y <= -744.55
-2.96x + -2.91y <= 481.06
-6.55x + 7.19y <= 998.05
-3.39x + 1.97y <= -210.14
-7.4x + -1.02y <= -260.91
-1.61x + 9.58y <= 804.96
-2.69x + -1.94y <= -691.72
-3.61x + 5.97y <= -124.43
-9.98x + -6.77y <= -552.25
-6.99x + 9.79y <= -556.78
-9.91x + 2.62y <= 187.2
-6.13x + -3.47y <= -235.18
1.39x + 6.74y <= -132.37
-1.08x + -0.35y <= -786.32
-3.98x + -1.45y <= -515.81
-8.82x + -7.62y <= 505.29
-8.95x + 0.35y <= 166.35
-6.53x + 1.2y <= -353.49
-7.18x + 8.8y <= -335.1
-4.27x + -9.54y <= -198.01
-5.81x + -2.09y <= 425.13
-0.9x + 2.16y <= 277.84
-5.56x + -5.43y <= -971.47
-8.31x + -2.22y <= -429.46
-3.48x + 4.99y <= -845.3
-6.87x + 3.84y <= 713.46
-4.79x + -2.47y <= -728.26
-9.77x + 2.17y <= -994.35
-3.74x + -5.49y <= 963.51
-8.1x + -4.07y <= -470.03
-8.21x + 1.72y <= 565.6
-1.72x + 3.5y <= -880.15
-3.79x + -6.44y <= -699.34
3.72x + 9.39y <= -781.16
-2.69x + -1.27y <= -873.34
-2.46x + -3.96y <= -422.32
-5.17x + 3.41y <= 507.48
-6.2x + 2.63y <= 613.92
-9.16x + 8.74y <= -252.0
-3.64x + 3.79y <= 347.21
-7.12x + -0.27y <= 118.23
-3.45x + 3.35y <= 665.73
-7.53x + 6.37y <= 333.52
-0.77x + 8.96y <= -567.45
-6.18x + 8.01y <= 506.52
#-----------------program end-----------------
